n_sampled_goal,final_success,steps_to_90pct,success_auc
1,0.22,,0.07075000120326877
1,1.0,160000.0,0.8425000009126962
1,0.98999995,450000.0,0.6457500018179416
1,0.98999995,530000.0,0.5434999997168779
1,1.0,350000.0,0.727249999511987
4,0.98999995,470000.0,0.681750003118068
4,0.96000004,630000.0,0.439749998729676
4,1.0,290000.0,0.7597500003315508
4,0.98999995,260000.0,0.8022500025853515
4,0.2,,0.0832500016130507
8,0.98999995,290000.0,0.7840000044927001
8,1.0,140000.0,0.8555000010877848
8,0.45,,0.12075000105425715
8,1.0,230000.0,0.7812500033527613
8,0.98999995,420000.0,0.6447500009275973
