task,condition,seed,final_success,steps_to_90pct,success_auc
reach,dense,0,1.0,8000.0,0.941999999769032
reach,dense,1,1.0,6000.0,0.9525
reach,dense,2,1.0,6000.0,0.9469999992847442
reach,dense,3,1.0,8000.0,0.9314999988675118
reach,dense,4,1.0,6000.0,0.9444999969005585
reach,dense,5,1.0,8000.0,0.9420000004768372
reach,dense,6,1.0,6000.0,0.9500000007450581
reach,dense,7,1.0,6000.0,0.9510000005364418
reach,dense,8,1.0,6000.0,0.9509999995306134
reach,dense,9,1.0,6000.0,0.9609999990463257
reach,sparse,0,0.95,22000.0,0.7910000012069941
reach,sparse,1,1.0,28000.0,0.7869999961555004
reach,sparse,2,1.0,28000.0,0.7780000011622906
reach,sparse,3,1.0,22000.0,0.8020000001788139
reach,sparse,4,0.98999995,22000.0,0.8625000005960465
reach,sparse,5,1.0,22000.0,0.8259999994188547
reach,sparse,6,1.0,12000.0,0.902000000178814
reach,sparse,7,1.0,20000.0,0.8330000016838313
reach,sparse,8,1.0,24000.0,0.7990000018104911
reach,sparse,9,1.0,14000.0,0.8824999997392297
reach,dense_her,0,1.0,6000.0,0.9479999995231628
reach,dense_her,1,1.0,6000.0,0.9385000007227063
reach,dense_her,2,1.0,6000.0,0.9509999995306134
reach,dense_her,3,1.0,6000.0,0.9440000009536743
reach,dense_her,4,1.0,6000.0,0.9445000004768371
reach,dense_her,5,1.0,4000.0,0.9670000004768372
reach,dense_her,6,1.0,6000.0,0.9390000003576279
reach,dense_her,7,1.0,12000.0,0.9320000002533197
reach,dense_her,8,1.0,8000.0,0.9340000005066394
reach,dense_her,9,1.0,6000.0,0.9530000014603138
reach,sparse_her,0,1.0,8000.0,0.9350000002980232
reach,sparse_her,1,1.0,8000.0,0.9289999985694886
reach,sparse_her,2,1.0,10000.0,0.9260000002384186
reach,sparse_her,3,1.0,6000.0,0.9490000003576279
reach,sparse_her,4,1.0,12000.0,0.9139999997615814
reach,sparse_her,5,1.0,10000.0,0.9119999998807907
reach,sparse_her,6,1.0,8000.0,0.9440000000596046
reach,sparse_her,7,1.0,6000.0,0.9490000003576279
reach,sparse_her,8,1.0,12000.0,0.9015000008419156
reach,sparse_her,9,1.0,8000.0,0.93
push,sparse,0,0.05,,0.05400000117719173
push,sparse,1,0.060000002,,0.06925000118091702
push,sparse,2,0.07000001,,0.06750000150874257
push,sparse,3,0.07000001,,0.07075000137090683
push,sparse,4,0.060000002,,0.06400000141933561
push,sparse,5,0.060000002,,0.06575000135228037
push,sparse,6,0.01,,0.06550000136718154
push,sparse,7,0.060000002,,0.07525000182911754
push,sparse,8,0.060000002,,0.06875000171363353
push,sparse,9,0.04,,0.06700000131502748
push,sparse_her,0,0.98999995,470000.0,0.681750003118068
push,sparse_her,1,0.96000004,630000.0,0.439749998729676
push,sparse_her,2,1.0,290000.0,0.7597500003315508
push,sparse_her,3,0.98999995,260000.0,0.8022500025853515
push,sparse_her,4,0.2,,0.0832500016130507
push,sparse_her,5,1.0,310000.0,0.7070000018179416
push,sparse_her,6,0.96000004,460000.0,0.6520000018924474
push,sparse_her,7,1.0,350000.0,0.7097500037029385
push,sparse_her,8,0.96999997,630000.0,0.45975000323727727
push,sparse_her,9,1.0,250000.0,0.8022500010207295
