#{"t_start": 1786186021.880635, "env_id": "FetchPush-v3"}
r,l,t,is_success
-50.0,50,5.142047,0.0
-50.0,50,5.229451,0.0
-50.0,50,5.314397,0.0
-50.0,50,5.401011,0.0
-50.0,50,5.492072,0.0
-50.0,50,5.575835,0.0
-50.0,50,5.663274,0.0
-50.0,50,5.747916,0.0
-50.0,50,5.840024,0.0
-50.0,50,5.928555,0.0
-50.0,50,6.012657,0.0
-50.0,50,6.098166,0.0
-50.0,50,6.187067,0.0
-50.0,50,6.26992,0.0
-50.0,50,6.353514,0.0
-50.0,50,6.439734,0.0
-50.0,50,6.527136,0.0
-50.0,50,6.613049,0.0
-50.0,50,6.695687,0.0
-50.0,50,6.781509,0.0
-50.0,50,8.264326,0.0
-50.0,50,8.735099,0.0
-50.0,50,9.205263,0.0
-50.0,50,9.675704,0.0
-50.0,50,10.155299,0.0
-50.0,50,10.625186,0.0
-50.0,50,11.091196,0.0
-50.0,50,11.559264,0.0
-50.0,50,12.040608,0.0
0.0,50,12.638622,1.0
-50.0,50,13.10744,0.0
-50.0,50,13.576489,0.0
-50.0,50,14.056612,0.0
-50.0,50,14.522408,0.0
0.0,50,14.99253,1.0
-50.0,50,15.45843,0.0
-50.0,50,15.928859,0.0
-50.0,50,16.390655,0.0
-50.0,50,16.851532,0.0
-50.0,50,17.317271,0.0
-50.0,50,17.785077,0.0
-50.0,50,18.245938,0.0
-50.0,50,18.711397,0.0
-50.0,50,19.183662,0.0
-50.0,50,19.661436,0.0
-50.0,50,20.131589,0.0
-50.0,50,20.597657,0.0
-50.0,50,21.066284,0.0
0.0,50,21.545651,1.0
-50.0,50,22.014155,0.0
-50.0,50,22.482887,0.0
-50.0,50,22.94835,0.0
-50.0,50,23.425302,0.0
-50.0,50,23.898402,0.0
-50.0,50,24.368322,0.0
-50.0,50,24.835145,0.0
-50.0,50,25.309835,0.0
-50.0,50,25.788107,0.0
0.0,50,26.256748,1.0
-50.0,50,26.729287,0.0
-50.0,50,27.215375,0.0
-50.0,50,27.682703,0.0
-50.0,50,28.160727,0.0
-50.0,50,28.631265,0.0
-50.0,50,29.117174,0.0
-50.0,50,29.592802,0.0
-50.0,50,30.069457,0.0
-50.0,50,30.546942,0.0
-50.0,50,31.033421,0.0
-50.0,50,31.515827,0.0
-50.0,50,31.996644,0.0
-50.0,50,32.475495,0.0
-50.0,50,32.957251,0.0
-50.0,50,33.429544,0.0
-50.0,50,33.906612,0.0
-50.0,50,34.382552,0.0
-50.0,50,34.861105,0.0
-50.0,50,35.331938,0.0
-50.0,50,35.807907,0.0
-50.0,50,36.283411,0.0
0.0,50,36.785858,1.0
-50.0,50,37.263005,0.0
-50.0,50,37.737688,0.0
-50.0,50,38.210685,0.0
-50.0,50,38.694262,0.0
-50.0,50,39.164759,0.0
-50.0,50,39.638411,0.0
-50.0,50,40.113405,0.0
-50.0,50,40.59755,0.0
-50.0,50,41.069571,0.0
-50.0,50,41.54899,0.0
-50.0,50,42.025766,0.0
-50.0,50,42.51445,0.0
-50.0,50,42.992669,0.0
-50.0,50,43.473765,0.0
-50.0,50,43.952494,0.0
-50.0,50,44.434115,0.0
-50.0,50,44.912727,0.0
-50.0,50,45.385467,0.0
-50.0,50,45.865857,0.0
-50.0,50,46.356115,0.0
-50.0,50,46.835748,0.0
-50.0,50,47.307676,0.0
-50.0,50,47.781852,0.0
-50.0,50,48.269697,0.0
-50.0,50,48.745614,0.0
-50.0,50,49.22259,0.0
-50.0,50,49.704603,0.0
-50.0,50,50.194657,0.0
-50.0,50,50.666371,0.0
-50.0,50,51.137276,0.0
-50.0,50,51.618845,0.0
-50.0,50,52.110898,0.0
-50.0,50,52.580781,0.0
-50.0,50,53.069356,0.0
-50.0,50,53.539464,0.0
-50.0,50,54.034968,0.0
-50.0,50,54.518018,0.0
0.0,50,55.00162,1.0
-50.0,50,55.475674,0.0
0.0,50,55.95805,1.0
-50.0,50,56.422398,0.0
-50.0,50,56.894607,0.0
-50.0,50,57.359414,0.0
-50.0,50,57.843444,0.0
-50.0,50,58.311552,0.0
-50.0,50,58.776607,0.0
-50.0,50,59.244321,0.0
-50.0,50,59.72449,0.0
-50.0,50,60.198773,0.0
-43.0,50,60.663474,0.0
-50.0,50,61.132354,0.0
-50.0,50,61.6143,0.0
-50.0,50,62.090378,0.0
-50.0,50,62.563051,0.0
-50.0,50,63.035646,0.0
-50.0,50,63.509112,0.0
-50.0,50,63.982159,0.0
-50.0,50,64.445509,0.0
-50.0,50,64.909204,0.0
-50.0,50,65.38638,0.0
-50.0,50,65.854209,0.0
-50.0,50,66.319571,0.0
-50.0,50,66.791944,0.0
-50.0,50,67.264616,0.0
-50.0,50,67.736435,0.0
-50.0,50,68.199763,0.0
-50.0,50,68.671071,0.0
