#{"t_start": 1786207252.558908, "env_id": "FetchPush-v3"}
r,l,t,is_success
-50.0,50,5.176006,0.0
-50.0,50,5.265967,0.0
-50.0,50,5.351022,0.0
-50.0,50,5.443083,0.0
-50.0,50,5.537469,0.0
-50.0,50,5.624628,0.0
-50.0,50,5.708476,0.0
0.0,50,5.794427,1.0
-50.0,50,5.890838,0.0
-50.0,50,5.975257,0.0
-50.0,50,6.06281,0.0
0.0,50,6.149549,1.0
-50.0,50,6.237255,0.0
-50.0,50,6.325149,0.0
-50.0,50,6.413519,0.0
-50.0,50,6.500976,0.0
-50.0,50,6.589871,0.0
-50.0,50,6.678366,0.0
-50.0,50,6.766892,0.0
0.0,50,6.857955,1.0
-50.0,50,7.621844,0.0
0.0,50,8.161915,1.0
-50.0,50,8.698036,0.0
-50.0,50,9.235563,0.0
0.0,50,9.782053,1.0
-50.0,50,10.316775,0.0
-50.0,50,10.853757,0.0
-50.0,50,11.394621,0.0
-50.0,50,11.938277,0.0
-50.0,50,12.477705,0.0
-50.0,50,13.012181,0.0
-50.0,50,13.548268,0.0
-50.0,50,14.093799,0.0
-50.0,50,14.631505,0.0
-50.0,50,15.167383,0.0
-50.0,50,15.700393,0.0
-50.0,50,16.244437,0.0
-50.0,50,16.782874,0.0
-50.0,50,17.322244,0.0
-50.0,50,17.862943,0.0
-50.0,50,18.407598,0.0
-50.0,50,18.943924,0.0
-50.0,50,19.478353,0.0
-50.0,50,20.019576,0.0
-50.0,50,20.564065,0.0
-50.0,50,21.102928,0.0
-50.0,50,21.639034,0.0
-50.0,50,22.176548,0.0
-50.0,50,22.717313,0.0
-50.0,50,23.25211,0.0
-50.0,50,23.788385,0.0
-50.0,50,24.323814,0.0
-50.0,50,24.869028,0.0
-50.0,50,25.40561,0.0
-50.0,50,25.946722,0.0
-50.0,50,26.482974,0.0
0.0,50,27.028382,1.0
0.0,50,27.561732,1.0
-50.0,50,28.094308,0.0
-50.0,50,28.627998,0.0
-50.0,50,29.181541,0.0
-50.0,50,29.728509,0.0
-50.0,50,30.262064,0.0
-50.0,50,30.799925,0.0
0.0,50,31.35059,1.0
-50.0,50,31.894508,0.0
-50.0,50,32.435714,0.0
-50.0,50,32.970457,0.0
-50.0,50,33.510173,0.0
-50.0,50,34.051692,0.0
-50.0,50,34.590926,0.0
-50.0,50,35.136657,0.0
0.0,50,35.69091,1.0
-50.0,50,36.236763,0.0
-50.0,50,36.781046,0.0
0.0,50,37.320865,1.0
-50.0,50,37.87338,0.0
-50.0,50,38.419944,0.0
-50.0,50,38.969871,0.0
-50.0,50,39.518564,0.0
-50.0,50,40.10691,0.0
-50.0,50,40.650913,0.0
-50.0,50,41.191189,0.0
-50.0,50,41.742712,0.0
-50.0,50,42.2832,0.0
-50.0,50,42.815151,0.0
-50.0,50,43.352069,0.0
-50.0,50,43.886723,0.0
-50.0,50,44.436717,0.0
-50.0,50,44.974251,0.0
-50.0,50,45.512486,0.0
-50.0,50,46.042131,0.0
-50.0,50,46.587929,0.0
-50.0,50,47.124055,0.0
