#{"t_start": 1786215274.0310934, "env_id": "FetchPush-v3"}
r,l,t,is_success
-50.0,50,5.431994,0.0
-50.0,50,5.52041,0.0
-50.0,50,5.607898,0.0
-50.0,50,5.696785,0.0
-50.0,50,5.792215,0.0
-50.0,50,5.879453,0.0
-50.0,50,5.966693,0.0
-50.0,50,6.057769,0.0
-50.0,50,6.152395,0.0
-50.0,50,6.239092,0.0
0.0,50,6.326634,1.0
-50.0,50,6.412751,0.0
-50.0,50,6.50449,0.0
-50.0,50,6.595325,0.0
-50.0,50,6.683659,0.0
-50.0,50,6.770393,0.0
-50.0,50,6.863136,0.0
-50.0,50,6.949754,0.0
-50.0,50,7.035653,0.0
-50.0,50,7.120791,0.0
-50.0,50,7.876064,0.0
-50.0,50,8.4157,0.0
-50.0,50,8.960012,0.0
-50.0,50,9.502303,0.0
-50.0,50,10.052067,0.0
-50.0,50,10.600152,0.0
-50.0,50,11.141056,0.0
-50.0,50,11.682906,0.0
-50.0,50,12.23988,0.0
-50.0,50,12.781685,0.0
-50.0,50,13.324334,0.0
-50.0,50,13.863421,0.0
-50.0,50,14.416961,0.0
-50.0,50,14.963246,0.0
-50.0,50,15.502285,0.0
-50.0,50,16.042007,0.0
-50.0,50,16.592945,0.0
-50.0,50,17.135928,0.0
-50.0,50,17.679,0.0
-50.0,50,18.222424,0.0
-50.0,50,18.771463,0.0
-50.0,50,19.312423,0.0
-50.0,50,19.853747,0.0
-50.0,50,20.399718,0.0
-50.0,50,20.949873,0.0
-50.0,50,21.491792,0.0
-50.0,50,22.035005,0.0
-50.0,50,22.579235,0.0
-50.0,50,23.136926,0.0
-50.0,50,23.679963,0.0
-50.0,50,24.220114,0.0
-50.0,50,24.760706,0.0
-50.0,50,25.315325,0.0
-50.0,50,25.860644,0.0
-50.0,50,26.401448,0.0
0.0,50,26.944582,1.0
-50.0,50,27.494667,0.0
-50.0,50,28.032463,0.0
-50.0,50,28.574931,0.0
-50.0,50,29.113697,0.0
-50.0,50,29.662743,0.0
-50.0,50,30.203075,0.0
-50.0,50,30.74356,0.0
-50.0,50,31.284647,0.0
-50.0,50,31.832738,0.0
-50.0,50,32.375654,0.0
-50.0,50,32.91651,0.0
-50.0,50,33.456214,0.0
-50.0,50,34.010089,0.0
-50.0,50,34.548469,0.0
-50.0,50,35.087905,0.0
-50.0,50,35.625976,0.0
-50.0,50,36.183667,0.0
-50.0,50,36.724324,0.0
-50.0,50,37.272724,0.0
0.0,50,37.811466,1.0
-50.0,50,38.368992,0.0
-50.0,50,38.908587,0.0
-50.0,50,39.452604,0.0
-50.0,50,39.990648,0.0
-50.0,50,40.533296,0.0
-50.0,50,41.068542,0.0
-50.0,50,41.607043,0.0
-50.0,50,42.144264,0.0
-50.0,50,42.695696,0.0
-50.0,50,43.230553,0.0
-50.0,50,43.776406,0.0
-50.0,50,44.316848,0.0
-50.0,50,44.858791,0.0
-50.0,50,45.395233,0.0
-50.0,50,45.930685,0.0
-50.0,50,46.464244,0.0
-50.0,50,47.00815,0.0
-50.0,50,47.548151,0.0
0.0,50,48.083369,1.0
-50.0,50,48.617973,0.0
-50.0,50,49.164176,0.0
-50.0,50,49.70148,0.0
-50.0,50,50.238443,0.0
-50.0,50,50.777808,0.0
-50.0,50,51.332276,0.0
-50.0,50,51.86361,0.0
-50.0,50,52.399161,0.0
-50.0,50,52.937933,0.0
-50.0,50,53.48835,0.0
-50.0,50,54.024057,0.0
-50.0,50,54.563184,0.0
-50.0,50,55.11083,0.0
-50.0,50,55.659568,0.0
-50.0,50,56.19726,0.0
-50.0,50,56.734414,0.0
-50.0,50,57.273125,0.0
-50.0,50,57.82053,0.0
-50.0,50,58.362787,0.0
-50.0,50,58.899631,0.0
-50.0,50,59.441721,0.0
-50.0,50,59.984222,0.0
-50.0,50,60.522391,0.0
-50.0,50,61.060505,0.0
-50.0,50,61.595647,0.0
-50.0,50,62.141011,0.0
-50.0,50,62.680544,0.0
-50.0,50,63.218398,0.0
-50.0,50,63.75545,0.0
-50.0,50,64.303287,0.0
-50.0,50,64.841373,0.0
-50.0,50,65.389584,0.0
-50.0,50,65.933728,0.0
-50.0,50,66.486607,0.0
-50.0,50,67.026003,0.0
-50.0,50,67.566659,0.0
-50.0,50,68.106362,0.0
-50.0,50,68.674181,0.0
-50.0,50,69.221143,0.0
-50.0,50,69.764677,0.0
-50.0,50,70.316234,0.0
-50.0,50,70.8836,0.0
-50.0,50,71.42434,0.0
-50.0,50,71.968645,0.0
-50.0,50,72.514655,0.0
-50.0,50,73.073678,0.0
-50.0,50,73.610485,0.0
-50.0,50,74.156936,0.0
-50.0,50,74.701782,0.0
-50.0,50,75.254691,0.0
-50.0,50,75.804813,0.0
-50.0,50,76.351754,0.0
-50.0,50,76.890678,0.0
-50.0,50,77.443189,0.0
-50.0,50,77.987805,0.0
-50.0,50,78.53503,0.0
-50.0,50,79.070078,0.0
