#{"t_start": 1783258322.70204, "env_id": "FetchReachDense-v3"}
r,l,t,is_success
-7.061415,50,5.635646,0.0
-15.481678,50,5.708113,0.0
-9.84509,50,5.78749,0.0
-12.135514,50,5.864078,0.0
-7.550841,50,5.951042,0.0
-12.791862,50,6.024811,0.0
-6.20522,50,6.098403,0.0
-12.173442,50,6.173406,0.0
-4.808873,50,6.252652,0.0
-16.18174,50,6.330465,0.0
-10.00805,50,6.407457,0.0
-7.845295,50,6.48332,0.0
-10.863383,50,6.559903,0.0
-7.088225,50,6.634264,0.0
-4.968002,50,6.710064,0.0
-21.548722,50,6.783591,0.0
-11.291433,50,6.861901,0.0
-9.563069,50,6.934974,0.0
-12.33063,50,7.008128,0.0
-9.965966,50,7.086078,0.0
-14.963139,50,8.258812,0.0
-13.5642,50,8.725745,0.0
-10.600717,50,9.191805,0.0
-13.452676,50,9.651056,0.0
-6.09172,50,10.122529,0.0
-10.374069,50,10.589703,0.0
-11.250887,50,11.053057,0.0
-7.202814,50,11.514676,0.0
-10.221397,50,11.995283,0.0
-14.694919,50,12.585405,0.0
-4.279177,50,13.052257,0.0
-14.505651,50,13.514503,0.0
-6.290224,50,13.98991,0.0
-6.341139,50,14.454188,0.0
-9.31486,50,14.914571,0.0
-11.069496,50,15.384451,0.0
-8.393473,50,15.853874,0.0
-7.327959,50,16.316614,0.0
-7.399808,50,16.777886,0.0
-11.327445,50,17.240835,0.0
-8.472505,50,19.729687,0.0
-9.395654,50,20.190783,0.0
-5.048667,50,20.65111,0.0
-7.37794,50,21.112013,0.0
-6.358324,50,21.590224,0.0
-8.15378,50,22.056772,0.0
-10.108647,50,22.526992,0.0
-10.332405,50,22.99544,0.0
-13.706201,50,23.475847,0.0
-12.813325,50,23.949083,0.0
-10.083842,50,24.416111,0.0
-14.492641,50,24.881588,0.0
-10.925355,50,25.358943,0.0
-4.547391,50,25.824671,0.0
-3.897171,50,26.290537,0.0
-6.069583,50,26.758463,0.0
-6.012996,50,27.234849,0.0
-7.995531,50,27.702084,0.0
-15.060915,50,28.16905,0.0
-5.651745,50,28.636599,0.0
-6.655879,50,29.113976,0.0
-10.467857,50,29.583209,0.0
-11.644543,50,30.049866,0.0
-7.387248,50,30.516755,0.0
-7.310859,50,30.994977,0.0
-6.429884,50,31.462505,0.0
-4.762909,50,31.928963,0.0
-6.597706,50,32.40001,0.0
-8.713553,50,32.879305,0.0
-7.371862,50,33.347105,0.0
-5.547532,50,33.817133,0.0
-5.340753,50,34.288182,0.0
-5.233983,50,34.775036,0.0
-3.19906,50,35.248864,0.0
-5.099722,50,35.722055,0.0
-5.304384,50,36.195596,1.0
-6.55308,50,36.680418,0.0
-4.411856,50,37.155159,0.0
-6.014062,50,37.629724,0.0
-3.548551,50,38.099209,0.0
-4.695141,50,40.600272,0.0
-4.268516,50,41.073756,0.0
-5.892066,50,41.545559,0.0
-2.269306,50,42.020191,0.0
-3.488331,50,42.500165,0.0
-2.268986,50,42.965876,1.0
-5.137593,50,43.435285,0.0
-3.666257,50,43.902425,0.0
-2.889117,50,44.378935,1.0
-4.406318,50,44.844863,0.0
-2.662788,50,45.309675,0.0
-3.489398,50,45.774086,0.0
-2.763675,50,46.250789,0.0
-2.133668,50,46.717625,1.0
-3.766909,50,47.188553,0.0
-3.871379,50,47.654902,0.0
-2.422579,50,48.131171,1.0
-2.463378,50,48.597649,0.0
-2.59647,50,49.063034,0.0
-3.721685,50,49.533584,0.0
-2.794778,50,50.009899,0.0
-3.713991,50,50.475648,0.0
-3.379806,50,50.943984,1.0
-2.460807,50,51.409544,1.0
-4.082435,50,51.887549,1.0
-3.051703,50,52.356047,1.0
-2.424462,50,52.823799,0.0
-1.626769,50,53.29277,1.0
-2.730968,50,53.774302,0.0
-2.474419,50,54.243079,0.0
-2.802084,50,54.716286,0.0
-3.778218,50,55.193163,0.0
-1.784718,50,55.671833,1.0
-2.013437,50,56.142164,0.0
-1.794623,50,56.611686,1.0
-1.911197,50,57.087149,0.0
-2.476972,50,57.570302,1.0
-1.560694,50,58.040197,1.0
-1.786848,50,58.51032,1.0
-1.77307,50,58.978979,1.0
-2.427455,50,61.468406,1.0
-2.116809,50,61.936132,0.0
-1.977971,50,62.409899,1.0
-1.805497,50,62.878155,0.0
-1.690262,50,63.3583,1.0
-2.625311,50,63.836111,1.0
-1.749455,50,64.307656,1.0
-1.737314,50,64.778423,1.0
-2.097519,50,65.259503,1.0
-2.113564,50,65.736579,1.0
-2.461749,50,66.214585,1.0
-1.909638,50,66.683572,1.0
-1.839818,50,67.164441,1.0
-1.369117,50,67.636011,1.0
-1.302122,50,68.104846,1.0
-2.084598,50,68.578113,1.0
-1.781734,50,69.058129,1.0
-1.63299,50,69.527898,1.0
-1.64451,50,69.998544,1.0
-1.225516,50,70.468792,1.0
-2.293657,50,70.947138,1.0
-1.673144,50,71.407732,1.0
-1.555171,50,71.868224,0.0
-1.970012,50,72.340285,1.0
-1.89158,50,72.815996,1.0
-1.841297,50,73.286896,1.0
-2.086483,50,73.752017,0.0
-1.246647,50,74.222979,1.0
-1.379971,50,74.702211,1.0
-1.247224,50,75.171071,1.0
-1.531717,50,75.641594,1.0
-1.416777,50,76.10664,1.0
-2.20866,50,76.587847,0.0
-2.201708,50,77.055017,0.0
-1.665375,50,77.521234,1.0
-1.771542,50,77.983988,1.0
-1.456584,50,78.458156,1.0
-1.24915,50,78.922993,1.0
-1.914717,50,79.387316,1.0
-1.303172,50,79.849948,1.0
-1.435584,50,82.387891,1.0
-1.074679,50,82.85078,1.0
-1.781286,50,83.313761,1.0
-1.375525,50,83.779571,1.0
-1.545141,50,84.26111,1.0
-2.025886,50,84.725679,1.0
-1.733484,50,85.189722,1.0
-1.651531,50,85.655856,1.0
-2.121552,50,86.136809,0.0
-2.280631,50,86.603796,1.0
-2.564449,50,87.073775,1.0
-1.942058,50,87.53898,1.0
-2.193029,50,88.013349,1.0
-1.853019,50,88.478045,1.0
-2.406459,50,88.949017,1.0
-1.504909,50,89.415774,1.0
-1.478405,50,89.893765,1.0
-2.590539,50,90.362009,0.0
-1.364828,50,90.825186,1.0
-2.230718,50,91.288603,1.0
-2.352748,50,91.769137,1.0
-1.118205,50,92.233809,1.0
-2.645702,50,92.698615,0.0
-0.949829,50,93.162655,1.0
-1.872374,50,93.639901,1.0
-3.012326,50,94.111348,0.0
-1.660388,50,94.577009,1.0
-1.282895,50,95.041766,1.0
-1.931945,50,95.518965,1.0
-2.84559,50,95.983855,0.0
-0.876585,50,96.459027,1.0
-2.482865,50,96.925133,0.0
-2.082019,50,97.401746,1.0
-2.881507,50,97.866187,0.0
-2.736989,50,98.330225,1.0
-1.494952,50,98.802991,1.0
-2.259586,50,99.278788,0.0
-2.119889,50,99.753934,1.0
-1.051373,50,100.217922,1.0
-1.814201,50,100.680794,1.0
-1.781063,50,103.187173,1.0
-0.928972,50,103.647929,1.0
-2.665967,50,104.113872,1.0
-2.382422,50,104.583843,1.0
-0.91794,50,105.058449,1.0
-1.826535,50,105.528177,1.0
-2.02691,50,105.992302,1.0
-2.458165,50,106.455005,1.0
-2.298617,50,106.929138,1.0
-1.408856,50,107.390175,1.0
-2.023396,50,107.861173,1.0
-1.438878,50,108.324246,1.0
-2.182911,50,108.799045,1.0
