#{"t_start": 1786140007.7308996, "env_id": "FetchReachDense-v3"}
r,l,t,is_success
-5.033173,50,8.903743,0.0
-8.95952,50,8.980918,0.0
-12.511243,50,9.062995,0.0
-14.391804,50,9.148092,0.0
-11.001859,50,9.246666,0.0
-6.549843,50,9.326165,0.0
-9.273483,50,9.403818,0.0
-18.113334,50,9.485595,0.0
-9.394264,50,9.590003,0.0
-11.249918,50,9.666882,0.0
-10.430309,50,9.747556,0.0
-9.382158,50,9.825299,0.0
-14.329815,50,9.921694,0.0
-8.104108,50,9.99944,0.0
-10.024098,50,10.077565,0.0
-7.294926,50,10.158955,0.0
-13.057131,50,10.252616,0.0
-10.589537,50,10.330749,0.0
-10.809729,50,10.409519,0.0
-13.08845,50,10.488852,0.0
-5.342428,50,12.639306,0.0
-8.196865,50,13.171285,0.0
-7.633526,50,13.703273,0.0
-7.761106,50,14.240949,0.0
-6.626889,50,14.805734,0.0
-20.268087,50,15.349482,0.0
-7.433167,50,15.884696,0.0
-9.147502,50,16.422779,0.0
-13.377899,50,16.98253,0.0
-8.84866,50,17.521852,0.0
-9.696654,50,18.050964,0.0
-18.391508,50,18.57794,0.0
-9.774059,50,19.124484,0.0
-13.738768,50,19.653375,0.0
-9.331832,50,20.181646,0.0
-7.007508,50,20.709347,0.0
-11.515187,50,21.264346,0.0
-16.333476,50,21.789666,0.0
-6.464375,50,22.32446,0.0
-7.957441,50,22.853441,0.0
-8.009515,50,25.464292,0.0
-8.445771,50,25.997607,0.0
-10.077238,50,26.531183,0.0
-9.443577,50,27.064885,0.0
-12.312309,50,27.623412,0.0
-11.321953,50,28.187231,0.0
-6.181449,50,28.725267,0.0
-9.188632,50,29.257225,0.0
-10.181094,50,29.801681,0.0
-9.878072,50,30.335273,0.0
-3.988166,50,30.86537,0.0
-8.929429,50,31.393707,0.0
-16.713037,50,31.941056,0.0
-11.447167,50,32.468997,0.0
-11.267872,50,32.998079,0.0
-3.864288,50,33.528391,0.0
-5.919268,50,34.083061,0.0
-10.696689,50,34.610054,0.0
-11.939833,50,35.141383,0.0
-12.722062,50,35.676627,0.0
-13.715185,50,36.224098,0.0
-11.850917,50,36.756517,0.0
-15.137057,50,37.286088,0.0
-7.396297,50,37.814625,0.0
-11.246484,50,38.374261,0.0
-8.379278,50,38.904247,0.0
-11.178559,50,39.436553,0.0
-3.708179,50,39.972911,0.0
-14.452868,50,40.516113,0.0
-8.925306,50,41.046478,0.0
-3.466429,50,41.580401,1.0
-6.476173,50,42.111155,0.0
-7.807202,50,42.657232,0.0
-4.589589,50,43.191504,0.0
-3.836722,50,43.722154,0.0
-4.104066,50,44.250538,1.0
-4.184056,50,44.792093,0.0
-5.849742,50,45.323839,0.0
-5.667886,50,45.857736,0.0
-3.511703,50,46.396086,0.0
-3.399142,50,49.07118,0.0
-3.322074,50,49.597674,0.0
-2.94076,50,50.131448,0.0
-3.106249,50,50.669813,1.0
-3.325456,50,51.225906,1.0
-3.040968,50,51.763504,1.0
-3.349236,50,52.300299,0.0
-1.940346,50,52.837951,1.0
-2.430979,50,53.392424,0.0
-2.467112,50,53.932815,1.0
-3.275454,50,54.475486,0.0
-2.036918,50,55.011667,1.0
-2.433985,50,55.566916,1.0
-2.989623,50,56.10394,0.0
-2.401968,50,56.640027,1.0
-2.207771,50,57.173358,0.0
-2.791269,50,57.725861,1.0
-2.787452,50,58.259702,1.0
-2.097701,50,58.790354,1.0
-2.457403,50,59.322104,0.0
-2.015729,50,59.868434,1.0
-3.267708,50,60.404642,0.0
-2.874472,50,60.935414,1.0
-2.362183,50,61.472329,0.0
-2.704949,50,62.03836,0.0
-2.677178,50,62.572833,0.0
-2.642391,50,63.106362,0.0
-2.414748,50,63.635306,1.0
-2.062014,50,64.193404,1.0
-2.151421,50,64.728146,0.0
-1.804989,50,65.260402,1.0
-1.97514,50,65.793888,0.0
-1.666686,50,66.353787,1.0
-1.664782,50,66.891573,1.0
-1.563693,50,67.421896,1.0
-2.07376,50,67.950498,1.0
-1.66961,50,68.504757,0.0
-1.926116,50,69.032727,0.0
-1.633272,50,69.570801,1.0
-1.813964,50,70.10321,1.0
-1.65741,50,72.798868,1.0
-1.887653,50,73.328724,1.0
-1.847469,50,73.864594,1.0
-2.381127,50,74.395121,1.0
-1.898096,50,74.953938,1.0
-1.581617,50,75.485693,1.0
-1.671767,50,76.015512,1.0
-1.44399,50,76.548886,1.0
-1.731084,50,77.105149,1.0
-1.947717,50,77.640795,0.0
-2.57625,50,78.17722,0.0
-1.869702,50,78.712459,1.0
-2.24738,50,79.267178,1.0
-2.1345,50,79.805462,1.0
-1.538442,50,80.342538,1.0
-2.073937,50,80.886906,1.0
-1.469844,50,81.449777,1.0
-1.457046,50,81.98486,1.0
-1.772209,50,82.519499,1.0
-1.670693,50,83.058041,1.0
-2.233533,50,83.613014,0.0
-1.97258,50,84.14506,1.0
-2.116377,50,84.688093,1.0
-1.832399,50,85.222997,1.0
-1.861097,50,85.769375,1.0
-1.812488,50,86.307034,0.0
-2.129434,50,86.842742,1.0
-1.774277,50,87.378331,1.0
-1.710894,50,87.946144,1.0
-1.35321,50,88.492294,1.0
-1.715325,50,89.029026,1.0
-1.619525,50,89.572442,1.0
-1.067506,50,90.127895,1.0
-2.032649,50,90.666771,1.0
-2.696905,50,91.200852,0.0
-2.143247,50,91.736577,1.0
-1.673803,50,92.296202,1.0
-1.864302,50,92.844601,1.0
-1.525959,50,93.389133,1.0
-2.108669,50,93.92837,1.0
-1.716197,50,96.626035,1.0
-1.913658,50,97.161366,1.0
-2.060869,50,97.696221,1.0
-1.492684,50,98.241396,1.0
-1.545645,50,98.794241,1.0
-1.762441,50,99.331266,1.0
-1.777668,50,99.866241,1.0
-1.309491,50,100.398738,1.0
-0.998087,50,100.957432,1.0
-0.96721,50,101.494896,1.0
