#{"t_start": 1783258327.1010137, "env_id": "FetchReach-v3"}
r,l,t,is_success
-50.0,50,8.114899,0.0
-50.0,50,8.188324,0.0
-46.0,50,8.262848,0.0
-50.0,50,8.33811,0.0
-49.0,50,8.42094,0.0
-50.0,50,8.497725,0.0
-50.0,50,8.576347,0.0
-50.0,50,8.650421,0.0
-50.0,50,8.728752,0.0
-50.0,50,8.809492,0.0
-50.0,50,8.887982,0.0
-50.0,50,8.964641,0.0
-50.0,50,9.043117,0.0
-50.0,50,9.119769,0.0
-46.0,50,9.19283,0.0
-50.0,50,9.268793,0.0
-50.0,50,9.350316,0.0
-50.0,50,9.426046,0.0
-50.0,50,9.505703,0.0
-50.0,50,9.580168,0.0
-50.0,50,11.660004,0.0
-50.0,50,12.136678,0.0
-50.0,50,12.612686,0.0
-50.0,50,13.088756,0.0
-45.0,50,13.572602,0.0
-50.0,50,14.057971,0.0
-50.0,50,14.536272,0.0
-50.0,50,15.017891,0.0
-50.0,50,15.501991,0.0
-50.0,50,16.118327,0.0
-50.0,50,16.597813,0.0
-50.0,50,17.078182,0.0
-50.0,50,17.573261,0.0
-50.0,50,18.051877,0.0
-50.0,50,18.530941,0.0
-50.0,50,19.010558,0.0
-50.0,50,19.49831,0.0
-50.0,50,19.981032,0.0
-50.0,50,20.467598,0.0
-50.0,50,20.948267,0.0
-49.0,50,23.494968,0.0
-50.0,50,23.97631,0.0
-50.0,50,24.460465,0.0
-50.0,50,24.940009,0.0
-50.0,50,25.43231,0.0
-50.0,50,25.911856,0.0
-50.0,50,26.394264,0.0
-50.0,50,26.876755,0.0
-50.0,50,27.367599,0.0
-50.0,50,27.853105,0.0
-50.0,50,28.333401,0.0
-38.0,50,28.813953,0.0
-50.0,50,29.302245,0.0
-50.0,50,29.782726,0.0
-50.0,50,30.264905,0.0
-50.0,50,30.745446,0.0
-48.0,50,31.2335,0.0
-50.0,50,31.723524,0.0
-50.0,50,32.205488,0.0
-50.0,50,32.688852,0.0
-50.0,50,33.177855,0.0
-50.0,50,33.658817,0.0
-50.0,50,34.139378,0.0
-50.0,50,34.619365,0.0
-50.0,50,35.107502,0.0
-50.0,50,35.588184,0.0
-44.0,50,36.068571,0.0
-50.0,50,36.550038,0.0
-50.0,50,37.039759,0.0
