#{"t_start": 1786139618.300395, "env_id": "FetchReach-v3"}
r,l,t,is_success
-50.0,50,5.221032,0.0
-50.0,50,5.298646,0.0
-50.0,50,5.380537,0.0
-50.0,50,5.46393,0.0
-50.0,50,5.547599,0.0
-50.0,50,5.626834,0.0
-44.0,50,5.704527,0.0
-50.0,50,5.780659,0.0
-50.0,50,5.862018,0.0
-50.0,50,5.942868,0.0
-44.0,50,6.018896,0.0
-50.0,50,6.099053,0.0
-45.0,50,6.182187,0.0
-50.0,50,6.260128,0.0
-50.0,50,6.33748,0.0
-50.0,50,6.417098,0.0
-50.0,50,6.49878,0.0
-50.0,50,6.575993,0.0
-50.0,50,6.657027,0.0
-50.0,50,6.733976,0.0
-50.0,50,7.474877,0.0
-50.0,50,7.994063,0.0
-50.0,50,8.515593,0.0
-50.0,50,9.035722,0.0
-50.0,50,9.569038,0.0
-50.0,50,10.094133,0.0
-48.0,50,10.616191,0.0
-49.0,50,11.138954,0.0
-50.0,50,11.671308,0.0
-49.0,50,12.193025,0.0
-50.0,50,12.710799,0.0
-50.0,50,13.231159,0.0
-42.0,50,13.758466,0.0
-50.0,50,14.28064,0.0
-50.0,50,14.80048,0.0
-37.0,50,15.324621,1.0
-42.0,50,15.859282,0.0
-50.0,50,16.390872,0.0
-50.0,50,16.915565,0.0
-50.0,50,17.441771,0.0
-50.0,50,20.021669,0.0
-50.0,50,20.5383,0.0
-50.0,50,21.059003,0.0
-50.0,50,21.585686,0.0
-50.0,50,22.122141,0.0
-50.0,50,22.643844,0.0
-50.0,50,23.165708,0.0
-50.0,50,23.685375,0.0
-50.0,50,24.228433,0.0
-50.0,50,24.752769,0.0
-50.0,50,25.276058,0.0
-50.0,50,25.80759,0.0
-50.0,50,26.340196,0.0
-46.0,50,26.870302,0.0
-50.0,50,27.39623,0.0
-50.0,50,27.920271,0.0
-46.0,50,28.456498,0.0
-50.0,50,28.984437,0.0
-50.0,50,29.506978,0.0
-50.0,50,30.030665,0.0
-50.0,50,30.563664,0.0
-50.0,50,31.08746,0.0
-44.0,50,31.612599,0.0
-50.0,50,32.135537,0.0
-49.0,50,32.66841,0.0
-50.0,50,33.191721,0.0
-50.0,50,33.713919,0.0
-50.0,50,34.235804,0.0
-50.0,50,34.770092,0.0
-50.0,50,35.293817,0.0
-50.0,50,35.817995,0.0
-50.0,50,36.342426,0.0
-50.0,50,36.877568,0.0
-50.0,50,37.402579,0.0
-50.0,50,37.926927,0.0
-50.0,50,38.453203,0.0
-50.0,50,38.988658,0.0
-48.0,50,39.511485,0.0
-45.0,50,40.034257,0.0
-49.0,50,40.559532,0.0
-50.0,50,43.129976,0.0
-50.0,50,43.655728,0.0
-47.0,50,44.185135,0.0
-49.0,50,44.708967,0.0
-50.0,50,45.242793,0.0
-42.0,50,45.770382,0.0
-49.0,50,46.297569,0.0
-46.0,50,46.826837,0.0
-49.0,50,47.364685,0.0
-49.0,50,47.896043,0.0
-49.0,50,48.424157,0.0
-49.0,50,48.955691,0.0
-46.0,50,49.495473,0.0
-29.0,50,50.023989,0.0
-34.0,50,50.552298,0.0
-15.0,50,51.082226,1.0
-48.0,50,51.617833,1.0
-19.0,50,52.15624,0.0
-50.0,50,52.697224,0.0
-38.0,50,53.227349,1.0
-38.0,50,53.765345,0.0
-34.0,50,54.302116,1.0
-34.0,50,54.834273,0.0
-19.0,50,55.372426,0.0
-37.0,50,55.913913,0.0
-50.0,50,56.446037,0.0
-9.0,50,56.976879,1.0
-28.0,50,57.50994,0.0
-34.0,50,58.052554,1.0
-39.0,50,58.591048,0.0
-31.0,50,59.125356,0.0
-28.0,50,59.65684,0.0
-38.0,50,60.198915,1.0
-20.0,50,60.733196,0.0
-25.0,50,61.266965,0.0
-11.0,50,61.802298,1.0
-26.0,50,62.344507,0.0
-25.0,50,62.880319,1.0
-26.0,50,63.41355,1.0
-6.0,50,63.94647,0.0
-20.0,50,66.625576,1.0
-36.0,50,67.163462,0.0
-21.0,50,67.70998,0.0
-20.0,50,68.24512,1.0
-28.0,50,68.792268,1.0
-18.0,50,69.33326,0.0
-16.0,50,69.871518,1.0
-17.0,50,70.411074,0.0
-18.0,50,70.952711,1.0
-22.0,50,71.486339,0.0
-15.0,50,72.018596,0.0
-27.0,50,72.551465,1.0
-18.0,50,73.08757,1.0
-6.0,50,73.61766,1.0
-14.0,50,74.146951,0.0
-26.0,50,74.67756,1.0
-14.0,50,75.211974,1.0
-10.0,50,75.736257,1.0
-9.0,50,76.269008,1.0
-18.0,50,76.805551,1.0
-21.0,50,77.349784,1.0
-2.0,50,77.891738,1.0
-12.0,50,78.423546,1.0
-13.0,50,78.961125,0.0
-28.0,50,79.498391,1.0
-14.0,50,80.028306,1.0
-15.0,50,80.556013,1.0
-14.0,50,81.096217,1.0
-5.0,50,81.638481,1.0
-3.0,50,82.177926,0.0
-13.0,50,82.702086,1.0
-3.0,50,83.234029,1.0
-2.0,50,83.784436,1.0
-1.0,50,84.309583,1.0
-2.0,50,84.835894,1.0
-8.0,50,85.362567,1.0
-8.0,50,85.903513,1.0
-3.0,50,86.440288,1.0
-11.0,50,86.967675,1.0
-10.0,50,87.491709,1.0
-3.0,50,90.181253,1.0
-2.0,50,90.714748,0.0
-6.0,50,91.256046,0.0
-12.0,50,91.791371,0.0
-4.0,50,92.332037,1.0
-3.0,50,92.869554,1.0
-1.0,50,93.403542,1.0
-5.0,50,93.937627,1.0
-13.0,50,94.486802,1.0
-3.0,50,95.030645,1.0
-2.0,50,95.578464,1.0
-2.0,50,96.116563,1.0
0.0,50,96.665196,1.0
-2.0,50,97.211359,1.0
-3.0,50,97.763747,1.0
-4.0,50,98.313586,1.0
-1.0,50,98.875628,1.0
-6.0,50,99.425315,1.0
-6.0,50,99.975502,1.0
-3.0,50,100.518355,1.0
-7.0,50,101.074333,1.0
-1.0,50,101.612314,1.0
-4.0,50,102.160474,1.0
-5.0,50,102.703465,1.0
-2.0,50,103.280063,1.0
-2.0,50,103.858284,1.0
-3.0,50,104.431328,1.0
-1.0,50,104.994559,1.0
-2.0,50,105.552422,1.0
-2.0,50,106.096489,1.0
0.0,50,106.638185,1.0
-2.0,50,107.17995,1.0
-2.0,50,107.725741,1.0
-1.0,50,108.268599,1.0
-2.0,50,108.810685,1.0
-3.0,50,109.355572,1.0
-2.0,50,109.893417,1.0
-2.0,50,110.424947,1.0
-1.0,50,110.954839,1.0
-2.0,50,111.507204,1.0
-2.0,50,114.2002,1.0
-17.0,50,114.730927,0.0
-25.0,50,115.262722,1.0
-3.0,50,115.794277,1.0
-1.0,50,116.336325,1.0
-2.0,50,116.873197,1.0
-2.0,50,117.405267,1.0
-3.0,50,117.936936,1.0
-1.0,50,118.481618,1.0
-1.0,50,119.01733,1.0
-2.0,50,119.565181,1.0
-2.0,50,120.09738,1.0
-1.0,50,120.638249,1.0
-3.0,50,121.169974,1.0
-2.0,50,121.700997,1.0
-2.0,50,122.236522,1.0
-2.0,50,122.772066,1.0
-1.0,50,123.295853,1.0
-3.0,50,123.833744,1.0
-2.0,50,124.358985,1.0
-2.0,50,124.900392,1.0
-1.0,50,125.426685,1.0
-1.0,50,125.95264,1.0
-3.0,50,126.492559,1.0
0.0,50,127.054969,1.0
-2.0,50,127.596948,1.0
-3.0,50,128.124725,1.0
-3.0,50,128.660793,1.0
0.0,50,129.200947,1.0
-2.0,50,129.730716,1.0
-1.0,50,130.261463,1.0
0.0,50,130.787323,1.0
0.0,50,131.323354,1.0
-1.0,50,131.851827,1.0
-1.0,50,132.378935,1.0
-1.0,50,132.90588,1.0
-1.0,50,133.449392,1.0
-1.0,50,133.980347,1.0
0.0,50,134.514349,1.0
-1.0,50,135.048273,1.0
-1.0,50,137.69816,1.0
-1.0,50,138.234853,1.0
0.0,50,138.768242,1.0
-2.0,50,139.300533,1.0
-1.0,50,139.840202,1.0
-2.0,50,140.377262,1.0
-2.0,50,140.924763,1.0
-2.0,50,141.477519,1.0
-1.0,50,142.028609,1.0
0.0,50,142.566542,1.0
-1.0,50,143.098524,1.0
-2.0,50,143.626921,1.0
-1.0,50,144.170757,1.0
-1.0,50,144.699551,1.0
-2.0,50,145.227378,1.0
-2.0,50,145.758044,1.0
-1.0,50,146.296478,1.0
0.0,50,146.82475,1.0
-2.0,50,147.352176,1.0
-2.0,50,147.88436,1.0
-1.0,50,148.421408,1.0
-1.0,50,148.952476,1.0
-2.0,50,149.482612,1.0
-3.0,50,150.00824,1.0
-2.0,50,150.553416,1.0
-1.0,50,151.082379,1.0
-2.0,50,151.612861,1.0
-2.0,50,152.140685,1.0
-3.0,50,152.678009,1.0
0.0,50,153.205728,1.0
-2.0,50,153.731763,1.0
-2.0,50,154.257111,1.0
-2.0,50,154.810489,1.0
-2.0,50,155.347561,1.0
-3.0,50,155.886631,1.0
-3.0,50,156.425715,1.0
-2.0,50,156.968551,1.0
-2.0,50,157.498775,1.0
-3.0,50,158.034534,1.0
0.0,50,158.568532,1.0
-1.0,50,161.222132,1.0
-2.0,50,161.751229,1.0
-1.0,50,162.278447,1.0
-1.0,50,162.807968,1.0
0.0,50,163.34485,1.0
-2.0,50,163.876585,1.0
-1.0,50,164.404623,1.0
-3.0,50,164.936967,1.0
-3.0,50,165.478537,1.0
-4.0,50,166.00525,1.0
-2.0,50,166.529909,1.0
-2.0,50,167.063456,1.0
-2.0,50,167.597806,1.0
-2.0,50,168.132584,1.0
-2.0,50,168.664598,1.0
0.0,50,169.190958,1.0
-2.0,50,169.731056,1.0
-1.0,50,170.263632,1.0
-3.0,50,170.790423,1.0
-2.0,50,171.342669,1.0
0.0,50,171.893411,1.0
-2.0,50,172.43588,1.0
-2.0,50,172.977664,1.0
-2.0,50,173.526949,1.0
-2.0,50,174.077875,1.0
-2.0,50,174.620824,1.0
-1.0,50,175.155535,1.0
0.0,50,175.694504,1.0
-2.0,50,176.241906,1.0
-1.0,50,176.787879,1.0
0.0,50,177.326784,1.0
0.0,50,177.866846,1.0
-2.0,50,178.416749,1.0
0.0,50,178.957579,1.0
-2.0,50,179.506746,1.0
-2.0,50,180.048006,1.0
-3.0,50,180.610861,1.0
-2.0,50,181.156672,1.0
-1.0,50,181.706944,1.0
-2.0,50,182.257437,1.0
-1.0,50,184.914843,1.0
-3.0,50,185.456895,1.0
-2.0,50,185.995379,1.0
-2.0,50,186.534418,1.0
-1.0,50,187.078969,1.0
-3.0,50,187.619218,1.0
-2.0,50,188.161025,1.0
-8.0,50,188.697119,1.0
-2.0,50,189.249327,1.0
-1.0,50,189.788337,1.0
-1.0,50,190.325938,1.0
-2.0,50,190.869786,1.0
-1.0,50,191.408782,1.0
-3.0,50,191.950896,1.0
-2.0,50,192.495139,1.0
-2.0,50,193.035315,1.0
-1.0,50,193.580976,1.0
0.0,50,194.114349,1.0
-2.0,50,194.656885,1.0
-2.0,50,195.188842,1.0
-1.0,50,195.722926,1.0
-1.0,50,196.258439,1.0
-4.0,50,196.794506,1.0
-1.0,50,197.331466,1.0
-2.0,50,197.876388,1.0
-3.0,50,198.415851,1.0
-2.0,50,198.952492,1.0
-2.0,50,199.491282,1.0
-1.0,50,200.036279,1.0
-2.0,50,200.577564,1.0
-2.0,50,201.134033,1.0
-2.0,50,201.678532,1.0
-7.0,50,202.234459,1.0
-1.0,50,202.777897,1.0
-1.0,50,203.321917,1.0
-3.0,50,203.86392,1.0
-2.0,50,204.421109,1.0
-1.0,50,204.961915,1.0
0.0,50,205.496957,1.0
-2.0,50,206.044881,1.0
-3.0,50,208.732317,1.0
-1.0,50,209.268088,1.0
-2.0,50,209.809206,1.0
-2.0,50,210.339735,1.0
0.0,50,210.880674,1.0
-2.0,50,211.415088,1.0
-2.0,50,211.957125,1.0
-1.0,50,212.490964,1.0
-2.0,50,213.02999,1.0
0.0,50,213.560667,1.0
-1.0,50,214.093142,1.0
-2.0,50,214.621105,1.0
-1.0,50,215.161304,1.0
-3.0,50,215.698983,1.0
-2.0,50,216.237964,1.0
-2.0,50,216.771461,1.0
0.0,50,217.310245,1.0
