#{"t_start": 1783191656.153166, "env_id": "FetchReachDense-v3"}
r,l,t,is_success
-32.57453,50,8.638503,0.0
-27.668297,50,8.710731,0.0
-27.234094,50,8.78318,0.0
-30.694131,50,8.856221,0.0
-38.947467,50,8.942225,0.0
-24.421273,50,9.013906,0.0
-27.268711,50,9.087579,0.0
-21.976194,50,9.161369,0.0
-33.34093,50,9.246747,0.0
-20.493448,50,9.318863,0.0
-23.958587,50,9.392261,0.0
-26.508271,50,9.464458,0.0
-28.378457,50,9.547161,0.0
-28.430039,50,9.619203,0.0
-21.99341,50,9.690982,0.0
-23.941308,50,9.763138,0.0
-29.668366,50,9.844141,0.0
-23.191349,50,9.916573,0.0
-22.40345,50,9.989631,0.0
-36.55122,50,10.062688,0.0
-19.799366,50,11.534595,0.0
-41.640283,50,11.987573,0.0
-28.209837,50,12.439473,0.0
-26.217542,50,12.891118,0.0
-30.760268,50,13.418548,0.0
-30.442574,50,13.877718,0.0
-36.463269,50,14.3313,0.0
-30.400281,50,14.78328,0.0
-23.204798,50,15.286566,0.0
-20.564486,50,15.869954,0.0
-24.366318,50,16.322248,0.0
-18.679939,50,16.774201,0.0
-27.685011,50,17.270402,0.0
-29.656412,50,17.722702,0.0
-30.05389,50,18.175159,0.0
-30.982834,50,18.630304,0.0
-20.471858,50,19.122092,0.0
-17.869783,50,19.578664,0.0
-22.971151,50,20.031325,0.0
-29.408145,50,20.483923,0.0
-27.842938,50,22.977188,0.0
-21.745879,50,23.429514,0.0
-20.192093,50,23.882882,0.0
-23.977399,50,24.336942,0.0
-25.707221,50,24.836267,0.0
-25.14777,50,25.289456,0.0
-26.546466,50,25.74351,0.0
-24.057177,50,26.196117,0.0
-26.905361,50,26.683741,0.0
-28.514197,50,27.13657,0.0
-25.254878,50,27.588674,0.0
-14.784334,50,28.041501,0.0
-15.343455,50,28.535848,0.0
-20.525714,50,28.992232,0.0
-19.232386,50,29.445377,0.0
-17.849385,50,29.898856,0.0
-19.578833,50,30.384081,0.0
-18.763211,50,30.836708,0.0
-19.866648,50,31.289437,0.0
-23.674157,50,31.746497,0.0
-23.080544,50,32.235573,0.0
-17.925318,50,32.68824,0.0
-18.117513,50,33.141148,0.0
-18.34441,50,33.594484,0.0
-16.475629,50,34.077438,0.0
-12.92109,50,34.53001,0.0
-8.531188,50,34.982705,0.0
-18.393673,50,35.435318,0.0
-18.015805,50,35.919266,0.0
-13.767336,50,36.372391,0.0
-15.363868,50,36.828014,0.0
-14.855058,50,37.282005,0.0
-8.476187,50,37.767395,0.0
-10.507991,50,38.222871,0.0
-12.297177,50,38.676023,0.0
-14.92644,50,39.126984,0.0
-8.475142,50,39.611008,0.0
-10.134326,50,40.062064,0.0
-16.747867,50,40.513008,0.0
-19.852724,50,40.9641,0.0
-14.535857,50,43.427568,0.0
-14.632408,50,43.880088,0.0
-6.959062,50,44.332072,0.0
-15.812078,50,44.785254,0.0
-13.723391,50,45.248004,0.0
-11.290041,50,45.70115,0.0
-8.773981,50,46.152205,0.0
-17.787062,50,46.606163,0.0
-16.051371,50,47.073065,0.0
-16.091425,50,47.52882,0.0
-6.396325,50,47.980124,1.0
-14.460029,50,48.43323,0.0
-14.757909,50,48.902979,0.0
-8.395053,50,49.359633,0.0
-12.691231,50,49.814187,0.0
-13.365502,50,50.270877,0.0
-12.498283,50,50.74967,0.0
-8.603487,50,51.202538,0.0
-13.602296,50,51.660444,0.0
-11.072469,50,52.117603,0.0
-7.973737,50,52.583299,0.0
-7.865777,50,53.038172,0.0
-12.328482,50,53.489275,0.0
-6.281897,50,53.944574,0.0
-7.9428,50,54.414116,0.0
-13.408255,50,54.867195,0.0
-5.664994,50,55.323973,0.0
-12.188672,50,55.778309,0.0
-5.029458,50,56.248055,0.0
-6.550738,50,56.704614,1.0
-6.51852,50,57.155141,0.0
-5.483512,50,57.606071,0.0
-7.329927,50,58.082101,0.0
-8.62146,50,58.537177,0.0
-5.614093,50,58.994113,1.0
-7.645016,50,59.450279,0.0
-8.713027,50,59.925378,0.0
-12.408252,50,60.378862,0.0
-6.655309,50,60.829232,1.0
-10.491756,50,61.284651,0.0
-7.28167,50,63.778285,0.0
-13.729524,50,64.234893,0.0
-6.221361,50,64.690631,1.0
-7.544551,50,65.149504,0.0
-5.875457,50,65.642055,0.0
-3.72793,50,66.096624,1.0
-12.430058,50,66.552583,0.0
-13.887121,50,67.008152,0.0
-6.659711,50,67.477595,1.0
-8.337806,50,67.935489,0.0
-8.359302,50,68.393434,0.0
-12.606348,50,68.851725,0.0
-10.914733,50,69.327745,0.0
-9.941521,50,69.779643,0.0
-6.476891,50,70.232578,0.0
-5.435992,50,70.685731,0.0
-4.917925,50,71.166637,0.0
-7.836002,50,71.621634,0.0
-5.843305,50,72.074545,0.0
-14.272889,50,72.531083,0.0
-8.680906,50,73.027758,0.0
-7.679204,50,73.480781,0.0
-4.731207,50,73.933794,1.0
-5.713023,50,74.387059,0.0
-9.126054,50,74.879305,0.0
-12.025224,50,75.33648,0.0
-6.263384,50,75.792363,0.0
-9.511691,50,76.247143,0.0
-9.845833,50,76.739311,0.0
-15.326829,50,77.193584,0.0
-9.373196,50,77.648852,0.0
-8.800665,50,78.102876,0.0
-13.149921,50,78.585094,0.0
-6.902846,50,79.039229,1.0
-10.262206,50,79.493686,0.0
-12.840005,50,79.947278,0.0
-10.344056,50,80.446838,0.0
-6.104033,50,80.899803,0.0
-14.045454,50,81.352915,0.0
-5.369412,50,81.806247,1.0
-11.499033,50,84.28236,0.0
-6.230814,50,84.735019,0.0
-5.795538,50,85.190839,0.0
-5.479468,50,85.644994,0.0
-5.84543,50,86.127367,1.0
-16.129173,50,86.585903,0.0
-11.762701,50,87.039429,0.0
-6.056631,50,87.49196,0.0
-5.320867,50,87.973243,1.0
-10.331985,50,88.428317,0.0
-4.415688,50,88.88114,0.0
-7.013713,50,89.334159,0.0
-13.405283,50,89.815202,0.0
-6.027057,50,90.267593,0.0
-5.099929,50,90.721686,0.0
-7.3209,50,91.17555,0.0
-8.373245,50,91.65867,0.0
-11.392061,50,92.123569,0.0
-9.390977,50,92.576364,0.0
-8.818778,50,93.028378,0.0
-14.667536,50,93.507308,0.0
-10.490115,50,93.960607,0.0
-11.11002,50,94.415593,0.0
-7.877261,50,94.869006,0.0
-7.812131,50,95.344856,0.0
-8.440766,50,95.799701,0.0
-5.184207,50,96.255719,0.0
-5.411277,50,96.70821,0.0
-4.534268,50,97.187054,0.0
-8.578961,50,97.641677,0.0
-10.173806,50,98.095196,0.0
-11.872434,50,98.553212,0.0
-8.535885,50,99.029698,0.0
-6.73186,50,99.4837,0.0
-14.286974,50,99.934775,0.0
-13.342357,50,100.389823,0.0
-8.602195,50,100.86366,0.0
-7.347096,50,101.319454,0.0
-8.81499,50,101.773168,0.0
-4.261209,50,102.228497,1.0
-4.010037,50,104.711672,0.0
-11.41052,50,105.167167,0.0
-3.375371,50,105.620709,1.0
-5.626111,50,106.073893,1.0
-13.740389,50,106.553126,0.0
-10.040424,50,107.008777,0.0
-5.666913,50,107.462162,1.0
-4.567876,50,107.917975,0.0
-8.623659,50,108.396674,0.0
-5.70235,50,108.849974,1.0
-5.27219,50,109.304928,1.0
-6.537517,50,109.758012,0.0
-6.18797,50,110.234178,0.0
-9.025041,50,110.686861,0.0
-4.970509,50,111.14039,0.0
-3.682205,50,111.593818,1.0
-12.767715,50,112.064733,0.0
-5.821463,50,112.520587,0.0
-10.203686,50,112.974609,0.0
-13.743823,50,113.428557,0.0
-10.390547,50,113.907159,0.0
-6.925176,50,114.36281,1.0
-4.283188,50,114.815928,1.0
-4.052538,50,115.268956,1.0
-4.781353,50,115.738739,1.0
-8.001928,50,116.192156,0.0
-9.42937,50,116.644802,0.0
-10.683789,50,117.097912,0.0
-4.315979,50,117.564303,1.0
-15.356164,50,118.017968,0.0
-6.675867,50,118.471246,1.0
-7.616995,50,118.924089,0.0
-5.213915,50,119.392205,1.0
-17.92862,50,119.84912,0.0
-9.263681,50,120.305855,0.0
-4.537837,50,120.760546,0.0
-3.976654,50,121.235492,1.0
-7.893633,50,121.692333,0.0
-6.007642,50,122.156751,0.0
-7.512997,50,122.60799,1.0
-7.646242,50,125.027452,0.0
-7.363847,50,125.478927,0.0
-4.870415,50,125.931065,0.0
-6.096702,50,126.382029,0.0
-9.697324,50,126.857985,0.0
-5.288934,50,127.311197,1.0
-8.380765,50,127.762947,0.0
-5.815893,50,128.214043,1.0
-5.473955,50,128.678976,1.0
-8.041639,50,129.129954,1.0
-13.498738,50,129.587368,0.0
-14.352372,50,130.04217,0.0
-7.638903,50,130.509951,0.0
-11.700455,50,130.962075,0.0
-12.147151,50,131.418549,0.0
-8.256499,50,131.871506,1.0
-9.211961,50,132.353003,0.0
-16.475956,50,132.808265,0.0
-5.516457,50,133.261144,0.0
-8.342363,50,133.714315,0.0
-5.401018,50,134.235954,0.0
-14.805101,50,134.689283,0.0
-9.74601,50,135.14292,0.0
-4.629412,50,135.596054,0.0
-6.12351,50,136.066745,0.0
-4.926715,50,136.519799,0.0
-16.777292,50,136.974718,0.0
-6.841785,50,137.427424,0.0
-3.756395,50,137.894154,1.0
-13.991874,50,138.350086,0.0
-11.799149,50,138.803449,0.0
-5.250985,50,139.258228,1.0
-6.36822,50,139.74807,1.0
-4.49713,50,140.201371,0.0
-5.472084,50,140.65479,0.0
-5.602707,50,141.111115,1.0
-5.869069,50,141.585096,0.0
-10.827499,50,142.037146,0.0
-13.736666,50,142.488053,0.0
-4.999719,50,142.939118,0.0
-4.429929,50,145.395114,1.0
-3.999959,50,145.84709,1.0
-14.558591,50,146.297993,0.0
-13.538377,50,146.748235,0.0
-6.431,50,147.210243,0.0
-5.801093,50,147.664319,1.0
-4.257757,50,148.1152,0.0
-5.128819,50,148.568133,1.0
-9.136961,50,149.034234,0.0
-15.438215,50,149.48519,0.0
-6.954928,50,149.938297,1.0
-5.836054,50,150.389152,1.0
-5.026664,50,150.857591,1.0
-6.593113,50,151.311599,0.0
-10.463646,50,151.772561,0.0
-7.961931,50,152.235178,1.0
-13.762323,50,152.703242,0.0
-8.054107,50,153.156787,0.0
-10.032159,50,153.612747,0.0
-12.068603,50,154.067845,0.0
-5.820884,50,154.554726,1.0
-10.840393,50,155.008959,0.0
-11.803498,50,155.46226,0.0
-8.683656,50,155.917139,0.0
-10.170233,50,156.399344,0.0
-7.336867,50,156.85339,0.0
-8.328658,50,157.308606,0.0
-11.625817,50,157.763168,0.0
-3.710791,50,158.25128,1.0
-13.241423,50,158.706361,0.0
-15.128203,50,159.160538,0.0
-14.323944,50,159.6113,0.0
-6.366026,50,160.093235,0.0
-4.637184,50,160.544214,1.0
-9.27247,50,160.995355,0.0
-9.212863,50,161.446343,0.0
-5.56657,50,161.933041,1.0
-13.840098,50,162.384337,0.0
-5.985296,50,162.835377,1.0
-6.303705,50,163.286668,0.0
-7.856653,50,165.733454,0.0
-8.327944,50,166.193522,0.0
-11.617544,50,166.6496,0.0
-8.796743,50,167.100486,0.0
-4.518152,50,167.592489,0.0
-4.049896,50,168.043432,1.0
-9.961153,50,168.494533,0.0
-9.822421,50,168.945461,0.0
-7.340191,50,169.429537,0.0
-10.758251,50,169.880299,0.0
-8.008699,50,170.331428,0.0
-3.590779,50,170.782441,1.0
-7.611056,50,171.264437,0.0
-11.484057,50,171.715517,0.0
-9.804749,50,172.166525,0.0
-9.337518,50,172.617619,0.0
-8.719444,50,173.104866,0.0
-10.472755,50,173.561851,0.0
-3.879399,50,174.015347,0.0
-12.806668,50,174.469239,0.0
-11.767246,50,174.957663,0.0
-8.695497,50,175.413168,0.0
-9.486647,50,175.869827,0.0
-9.815801,50,176.326052,0.0
-10.968932,50,176.814734,0.0
-6.103321,50,177.268256,0.0
-9.185216,50,177.722019,0.0
-10.502714,50,178.176054,0.0
-11.594995,50,178.663452,0.0
-5.370147,50,179.118846,1.0
-13.738645,50,179.572861,0.0
-9.208513,50,180.026729,0.0
-5.839705,50,180.506351,0.0
-6.621876,50,180.960757,0.0
-11.225183,50,181.415474,0.0
-4.545051,50,181.885911,1.0
-3.729741,50,182.3726,1.0
-4.717675,50,182.827847,1.0
-9.072257,50,183.282549,0.0
-4.931202,50,183.738153,1.0
-13.958546,50,186.178873,0.0
-10.354984,50,186.632422,0.0
-4.25403,50,187.085328,1.0
-9.926314,50,187.538892,0.0
-5.856961,50,188.014122,0.0
-4.605416,50,188.468662,1.0
-12.92185,50,188.922621,0.0
-10.177464,50,189.378054,0.0
-3.963366,50,189.874153,1.0
-11.370994,50,190.325797,0.0
-13.504008,50,190.778706,0.0
-9.210835,50,191.22993,0.0
-9.204841,50,191.69688,0.0
-11.771162,50,192.151745,0.0
-6.40023,50,192.604743,0.0
-8.038478,50,193.055717,0.0
-4.386208,50,193.531762,1.0
-12.023552,50,193.984615,0.0
-11.81958,50,194.439751,0.0
-8.985105,50,194.893502,0.0
-5.506753,50,195.372761,0.0
-8.447909,50,195.827114,0.0
-5.551815,50,196.281408,0.0
-11.238452,50,196.736937,0.0
-6.688107,50,197.214016,0.0
-7.888121,50,197.667382,0.0
-4.135922,50,198.121049,1.0
-7.422214,50,198.575067,1.0
-7.713902,50,199.060451,0.0
-5.460365,50,199.5139,1.0
-9.157746,50,199.971012,0.0
-7.521884,50,200.42792,0.0
-14.010422,50,200.900082,0.0
-5.204137,50,201.353238,1.0
-5.607616,50,201.806643,0.0
-6.506922,50,202.261283,0.0
-9.301036,50,202.739694,0.0
-9.224025,50,203.195384,0.0
-10.140351,50,203.656806,0.0
-10.905243,50,204.110464,0.0
-6.248947,50,206.5782,0.0
-6.358777,50,207.032144,0.0
-9.310801,50,207.485653,0.0
-4.98303,50,207.938848,1.0
-3.854406,50,208.407854,0.0
-14.957629,50,208.863084,0.0
-5.567806,50,209.318932,1.0
-3.60122,50,209.772837,1.0
-9.921356,50,210.254288,0.0
-14.72762,50,210.707738,0.0
-7.647461,50,211.161611,0.0
-8.540174,50,211.620212,1.0
-8.646906,50,212.109619,0.0
-8.253809,50,212.566124,0.0
-9.329083,50,213.021369,0.0
-5.879161,50,213.480354,1.0
-4.157571,50,213.961565,0.0
-5.181992,50,214.414948,1.0
-13.025642,50,214.869129,0.0
-13.75134,50,215.324548,0.0
-4.202224,50,215.820446,1.0
-8.659859,50,216.274991,0.0
-7.891499,50,216.728524,0.0
-3.832517,50,217.182834,1.0
-3.886054,50,217.664984,1.0
-5.702819,50,218.120732,1.0
-5.624988,50,218.575651,0.0
-13.717136,50,219.03229,0.0
-3.529051,50,219.500049,1.0
-7.604943,50,219.950914,0.0
-12.42183,50,220.402051,0.0
-13.873208,50,220.852924,0.0
-4.634166,50,221.327962,0.0
-7.751492,50,221.778995,0.0
-8.641042,50,222.230162,0.0
-10.880403,50,222.681065,0.0
-3.45742,50,223.152011,1.0
-3.654795,50,223.603013,1.0
-13.159278,50,224.055013,0.0
-12.117491,50,224.506052,0.0
-6.295216,50,226.973243,0.0
-4.947659,50,227.424074,1.0
-10.50511,50,227.879224,0.0
-3.940451,50,228.33011,1.0
-6.077796,50,228.797081,0.0
-6.416263,50,229.254348,0.0
-11.7384,50,229.70789,0.0
-7.81539,50,230.161589,0.0
-7.276198,50,230.63436,0.0
-5.530515,50,231.088045,1.0
-11.260298,50,231.542736,0.0
-8.000173,50,232.000049,0.0
-7.916423,50,232.480819,0.0
-15.0085,50,232.935544,0.0
-4.905852,50,233.390521,1.0
-4.572359,50,233.848516,1.0
-10.802547,50,234.335409,0.0
-6.194156,50,234.790097,1.0
-8.03406,50,235.24603,0.0
-8.06692,50,235.701857,0.0
-4.898588,50,236.19269,1.0
-5.569241,50,236.646982,0.0
-3.720685,50,237.101578,1.0
-4.160155,50,237.555571,1.0
-4.474637,50,238.031708,1.0
-4.192508,50,238.486286,0.0
-7.926439,50,238.940656,0.0
-13.162067,50,239.395961,0.0
-8.329529,50,239.878969,0.0
-10.318094,50,240.333601,0.0
-12.286787,50,240.790309,0.0
-8.25852,50,241.244848,0.0
-5.368755,50,241.735032,1.0
-11.448273,50,242.20106,0.0
-5.970275,50,242.654916,0.0
-7.75518,50,243.111008,0.0
-12.330662,50,243.584672,0.0
-7.445039,50,244.040868,0.0
-7.131776,50,244.496002,0.0
-5.119288,50,244.950192,1.0
-7.608708,50,247.375661,0.0
-4.613552,50,247.826163,1.0
-5.560841,50,248.279325,1.0
-9.472648,50,248.730307,0.0
-6.820458,50,249.19534,0.0
-10.525992,50,249.647422,0.0
-3.775961,50,250.098325,1.0
-10.529492,50,250.549313,0.0
-9.401068,50,251.015223,0.0
-3.374418,50,251.466266,1.0
-6.799142,50,251.91821,0.0
-10.541693,50,252.369353,0.0
-6.969192,50,252.836318,0.0
-4.093402,50,253.289178,1.0
-5.307563,50,253.740413,1.0
-11.994233,50,254.191467,0.0
-11.049746,50,254.661344,0.0
-12.081859,50,255.112376,0.0
-11.106319,50,255.563389,0.0
-7.043623,50,256.014363,0.0
-11.546056,50,256.488379,0.0
-11.54517,50,256.939333,0.0
-4.070599,50,257.390478,0.0
-3.191746,50,257.841376,1.0
-9.448102,50,258.319465,0.0
-6.988966,50,258.772547,0.0
-15.14972,50,259.224439,0.0
-5.228556,50,259.67536,0.0
-8.416054,50,260.163318,0.0
-5.197118,50,260.614411,0.0
-5.755122,50,261.067879,0.0
-8.327083,50,261.518438,0.0
-6.582601,50,261.993441,0.0
-4.182263,50,262.444558,1.0
-5.218858,50,262.896463,1.0
-8.562757,50,263.347442,0.0
-6.560452,50,263.827948,0.0
-8.487586,50,264.279538,0.0
-4.171052,50,264.730522,1.0
-4.222109,50,265.181477,1.0
-6.039405,50,267.657504,0.0
-14.914112,50,268.108507,0.0
-10.404149,50,268.560474,0.0
-3.542238,50,269.011514,1.0
-12.793164,50,269.494682,0.0
-10.310686,50,269.945612,0.0
-13.939943,50,270.396564,0.0
-5.129276,50,270.847576,0.0
-11.673855,50,271.329713,0.0
-6.763993,50,271.781585,0.0
-3.691842,50,272.242504,1.0
-8.693296,50,272.693519,0.0
-3.651163,50,273.180614,1.0
-3.844249,50,273.631614,1.0
-10.892829,50,274.082633,0.0
-9.659,50,274.533613,0.0
-3.303178,50,275.01356,1.0
-4.555519,50,275.464527,1.0
-9.938936,50,275.915554,0.0
-3.456663,50,276.366661,1.0
-4.479208,50,276.852796,1.0
-11.967051,50,277.303682,0.0
-9.235168,50,277.754704,0.0
-11.137915,50,278.208809,0.0
-11.996295,50,278.695856,0.0
-6.078664,50,279.153578,0.0
-6.258863,50,279.612157,0.0
-12.449604,50,280.066947,0.0
-10.943341,50,280.551832,0.0
-10.736112,50,281.002749,0.0
-6.782284,50,281.453704,0.0
-7.702948,50,281.906636,0.0
-13.911137,50,282.400382,0.0
-9.186245,50,282.854953,0.0
-3.538185,50,283.31071,1.0
-4.165508,50,283.765805,1.0
-8.7716,50,284.2551,0.0
-9.313279,50,284.709083,0.0
-12.262616,50,285.165048,0.0
-6.872307,50,285.619745,0.0
-8.153878,50,288.079467,0.0
-5.848484,50,288.534698,1.0
-5.801429,50,288.989552,0.0
-6.148709,50,289.447132,0.0
-5.008696,50,289.920771,0.0
-4.210734,50,290.375616,1.0
-4.630946,50,290.83141,1.0
-3.771133,50,291.284474,1.0
-3.233996,50,291.760334,1.0
-6.099707,50,292.214717,1.0
-12.656681,50,292.670061,0.0
-5.018742,50,293.124404,1.0
-8.884346,50,293.605001,0.0
-9.057564,50,294.061714,0.0
-9.144577,50,294.516413,0.0
-4.651022,50,294.970659,1.0
-5.076842,50,295.455327,0.0
-11.141599,50,295.912777,0.0
-8.303396,50,296.366772,0.0
-10.974403,50,296.820134,0.0
-11.827981,50,297.307997,0.0
-13.455375,50,297.762845,0.0
-10.357396,50,298.218409,0.0
-7.817469,50,298.672529,0.0
-5.069586,50,299.157679,1.0
-13.456233,50,299.612142,0.0
-10.585868,50,300.065922,0.0
-4.15838,50,300.519233,1.0
