#{"t_start": 1783191662.072611, "env_id": "FetchReach-v3"}
r,l,t,is_success
-50.0,50,9.201653,0.0
-50.0,50,9.273188,0.0
-50.0,50,9.344957,0.0
-50.0,50,9.417505,0.0
-50.0,50,9.514455,0.0
-50.0,50,9.58717,0.0
-50.0,50,9.65888,0.0
-50.0,50,9.730644,0.0
-50.0,50,9.823256,0.0
-50.0,50,9.894951,0.0
-50.0,50,9.966044,0.0
-50.0,50,10.037715,0.0
-50.0,50,10.129311,0.0
-50.0,50,10.202122,0.0
-50.0,50,10.274396,0.0
-50.0,50,10.346268,0.0
-50.0,50,10.43282,0.0
-50.0,50,10.506073,0.0
-50.0,50,10.578459,0.0
-50.0,50,10.650148,0.0
-50.0,50,12.689133,0.0
-50.0,50,13.141057,0.0
-50.0,50,13.592994,0.0
-50.0,50,14.043965,0.0
-50.0,50,14.542396,0.0
-50.0,50,14.999059,0.0
-50.0,50,15.452096,0.0
-50.0,50,15.903056,0.0
-50.0,50,16.389577,0.0
-50.0,50,16.974902,0.0
-50.0,50,17.429961,0.0
-50.0,50,17.884627,0.0
-50.0,50,18.37269,0.0
-50.0,50,18.829118,0.0
-50.0,50,19.294927,0.0
-50.0,50,19.751302,0.0
-50.0,50,20.243444,0.0
-50.0,50,20.703671,0.0
-50.0,50,21.160204,0.0
-50.0,50,21.616218,0.0
-50.0,50,24.108547,0.0
-50.0,50,24.562784,0.0
-50.0,50,25.018833,0.0
-50.0,50,25.473617,0.0
-50.0,50,25.960468,0.0
-50.0,50,26.415186,0.0
-50.0,50,26.869511,0.0
-50.0,50,27.325522,0.0
-50.0,50,27.815256,0.0
-50.0,50,28.270971,0.0
-50.0,50,28.726436,0.0
-50.0,50,29.180611,0.0
-50.0,50,29.668764,0.0
-50.0,50,30.124398,0.0
-50.0,50,30.579126,0.0
-50.0,50,31.035102,0.0
-50.0,50,31.516153,0.0
-50.0,50,31.971472,0.0
-50.0,50,32.426432,0.0
-50.0,50,32.880041,0.0
-50.0,50,33.360951,0.0
-50.0,50,33.812109,0.0
-50.0,50,34.262764,0.0
-50.0,50,34.712964,0.0
-50.0,50,35.195016,0.0
-50.0,50,35.645949,0.0
-50.0,50,36.095996,0.0
-50.0,50,36.549851,0.0
-50.0,50,37.036224,0.0
-50.0,50,37.48984,0.0
-50.0,50,37.946332,0.0
-50.0,50,38.399275,0.0
-50.0,50,38.88349,0.0
-50.0,50,39.337219,0.0
-50.0,50,39.7923,0.0
-50.0,50,40.244871,0.0
-50.0,50,40.73742,0.0
-50.0,50,41.189996,0.0
-50.0,50,41.643521,0.0
-50.0,50,42.096962,0.0
-50.0,50,44.545772,0.0
-50.0,50,44.998612,0.0
-50.0,50,45.451974,0.0
-50.0,50,45.90406,0.0
-50.0,50,46.387941,0.0
-50.0,50,46.839133,0.0
-50.0,50,47.290189,0.0
-50.0,50,47.740981,0.0
-50.0,50,48.22513,0.0
-50.0,50,48.676131,0.0
-50.0,50,49.138009,0.0
-50.0,50,49.589957,0.0
-50.0,50,50.06898,0.0
-50.0,50,50.521972,0.0
-50.0,50,50.972954,0.0
-50.0,50,51.42404,0.0
-50.0,50,51.904978,0.0
-50.0,50,52.355065,0.0
-50.0,50,52.806074,0.0
-50.0,50,53.256996,0.0
-50.0,50,53.730237,0.0
-50.0,50,54.18112,0.0
-50.0,50,54.632102,0.0
-50.0,50,55.08301,0.0
-50.0,50,55.568129,0.0
-50.0,50,56.023702,0.0
-50.0,50,56.479073,0.0
-50.0,50,56.934489,0.0
-50.0,50,57.422745,0.0
-50.0,50,57.87951,0.0
-50.0,50,58.336503,0.0
-50.0,50,58.792479,0.0
-50.0,50,59.277677,0.0
-50.0,50,59.732541,0.0
-50.0,50,60.188417,0.0
-50.0,50,60.643535,0.0
-50.0,50,61.129534,0.0
-50.0,50,61.586395,0.0
-50.0,50,62.042399,0.0
-50.0,50,62.49849,0.0
-50.0,50,64.980663,0.0
-50.0,50,65.431152,0.0
-50.0,50,65.882183,0.0
-50.0,50,66.333269,0.0
-50.0,50,66.812248,0.0
-50.0,50,67.263298,0.0
-50.0,50,67.71437,0.0
-50.0,50,68.166599,0.0
-50.0,50,68.64131,0.0
-50.0,50,69.092927,0.0
-50.0,50,69.548594,0.0
-50.0,50,70.008252,0.0
-50.0,50,70.491844,0.0
-50.0,50,70.94444,0.0
-50.0,50,71.395442,0.0
-50.0,50,71.849635,0.0
-50.0,50,72.32838,0.0
-50.0,50,72.790152,0.0
-50.0,50,73.245899,0.0
-50.0,50,73.703025,0.0
-50.0,50,74.182541,0.0
-50.0,50,74.634523,0.0
-50.0,50,75.095927,0.0
-50.0,50,75.559628,0.0
-50.0,50,76.0425,0.0
-50.0,50,76.506627,0.0
-50.0,50,76.972112,0.0
-50.0,50,77.440247,0.0
-50.0,50,77.921489,0.0
-50.0,50,78.386074,0.0
-50.0,50,78.854315,0.0
-50.0,50,79.323861,0.0
-50.0,50,79.820123,0.0
-50.0,50,80.28566,0.0
-50.0,50,80.746565,0.0
-50.0,50,81.206682,0.0
-50.0,50,81.687211,0.0
-50.0,50,82.156271,0.0
-50.0,50,82.6187,0.0
-50.0,50,83.083366,0.0
-50.0,50,85.662256,0.0
-50.0,50,86.125616,0.0
-50.0,50,86.589277,0.0
-50.0,50,87.052715,0.0
-50.0,50,87.545443,0.0
-50.0,50,88.017226,0.0
-50.0,50,88.481469,0.0
-50.0,50,88.950302,0.0
-50.0,50,89.445082,0.0
-50.0,50,89.90283,0.0
-50.0,50,90.360575,0.0
-50.0,50,90.815527,0.0
-50.0,50,91.284571,0.0
-50.0,50,91.739563,0.0
-50.0,50,92.199254,0.0
-50.0,50,92.662709,0.0
-50.0,50,93.144742,0.0
-50.0,50,93.60032,0.0
-50.0,50,94.055588,0.0
-50.0,50,94.514438,0.0
-50.0,50,95.001517,0.0
-50.0,50,95.461243,0.0
-50.0,50,95.921678,0.0
-50.0,50,96.385386,0.0
-50.0,50,96.861883,0.0
-50.0,50,97.326412,0.0
-50.0,50,97.790196,0.0
-50.0,50,98.253224,0.0
-50.0,50,98.734313,0.0
-50.0,50,99.197706,0.0
-50.0,50,99.658424,0.0
-50.0,50,100.114759,0.0
-50.0,50,100.583704,0.0
-50.0,50,101.039681,0.0
-50.0,50,101.500757,0.0
-50.0,50,101.94842,0.0
-50.0,50,102.404146,0.0
-50.0,50,102.846408,0.0
-50.0,50,103.288784,0.0
-50.0,50,104.113267,0.0
-50.0,50,110.028009,0.0
-50.0,50,111.305466,0.0
-50.0,50,112.385669,0.0
-50.0,50,113.434398,0.0
-50.0,50,114.516129,0.0
-50.0,50,115.565532,0.0
-50.0,50,116.597805,0.0
-50.0,50,117.630479,0.0
-50.0,50,118.694149,0.0
-50.0,50,119.731779,0.0
-50.0,50,120.771303,0.0
-50.0,50,121.804847,0.0
-50.0,50,122.879886,0.0
-50.0,50,123.920363,0.0
-50.0,50,124.964463,0.0
-50.0,50,126.021999,0.0
-50.0,50,127.103829,0.0
-50.0,50,128.177289,0.0
-50.0,50,129.22756,0.0
-50.0,50,130.270179,0.0
-50.0,50,131.355794,0.0
-50.0,50,132.403191,0.0
-50.0,50,133.440881,0.0
-50.0,50,134.481764,0.0
-50.0,50,135.540102,0.0
-50.0,50,136.568308,0.0
-50.0,50,137.614911,0.0
-50.0,50,138.645693,0.0
-50.0,50,139.728674,0.0
-50.0,50,140.786152,0.0
-50.0,50,141.84345,0.0
-50.0,50,142.917286,0.0
-50.0,50,144.022796,0.0
-50.0,50,145.092546,0.0
-50.0,50,146.152276,0.0
-50.0,50,147.224167,0.0
-50.0,50,148.335285,0.0
-50.0,50,149.436186,0.0
-50.0,50,150.515471,0.0
-50.0,50,151.598485,0.0
-50.0,50,157.859305,0.0
-50.0,50,158.949362,0.0
-50.0,50,160.053606,0.0
-50.0,50,161.14551,0.0
-50.0,50,162.264568,0.0
-50.0,50,163.353046,0.0
-50.0,50,164.443382,0.0
-50.0,50,165.534989,0.0
-50.0,50,166.63858,0.0
-50.0,50,167.726788,0.0
-50.0,50,168.803881,0.0
-50.0,50,169.899085,0.0
-50.0,50,171.031186,0.0
-50.0,50,172.122104,0.0
-50.0,50,173.207108,0.0
-50.0,50,174.292469,0.0
-50.0,50,175.418707,0.0
-50.0,50,176.496093,0.0
-50.0,50,177.585903,0.0
-50.0,50,178.669351,0.0
-50.0,50,179.791912,0.0
-50.0,50,180.870172,0.0
-50.0,50,181.958477,0.0
-50.0,50,183.042908,0.0
-50.0,50,184.151754,0.0
-50.0,50,185.241046,0.0
-50.0,50,186.32652,0.0
-50.0,50,187.408425,0.0
-50.0,50,188.528612,0.0
-50.0,50,189.585582,0.0
-50.0,50,190.62065,0.0
-50.0,50,191.665086,0.0
-50.0,50,192.73394,0.0
-50.0,50,193.773006,0.0
-50.0,50,194.819668,0.0
-50.0,50,195.86444,0.0
-50.0,50,196.93573,0.0
-50.0,50,197.975677,0.0
-50.0,50,199.031529,0.0
-50.0,50,200.081729,0.0
-50.0,50,206.166652,0.0
-50.0,50,207.202511,0.0
-50.0,50,208.236424,0.0
-50.0,50,209.269449,0.0
-50.0,50,210.332411,0.0
-50.0,50,211.364242,0.0
-50.0,50,212.396585,0.0
-50.0,50,213.434396,0.0
-50.0,50,214.492752,0.0
-50.0,50,215.53159,0.0
-50.0,50,216.566004,0.0
-50.0,50,217.599086,0.0
-50.0,50,218.656915,0.0
-50.0,50,219.688594,0.0
-50.0,50,220.719077,0.0
-50.0,50,221.756596,0.0
-50.0,50,222.814257,0.0
-50.0,50,223.839017,0.0
-50.0,50,224.864146,0.0
-50.0,50,225.889714,0.0
-50.0,50,226.945116,0.0
-50.0,50,227.972683,0.0
-50.0,50,229.016294,0.0
-50.0,50,230.048152,0.0
-50.0,50,231.106425,0.0
-50.0,50,232.134587,0.0
-50.0,50,233.162376,0.0
-50.0,50,234.193037,0.0
-50.0,50,235.246113,0.0
-50.0,50,236.280235,0.0
-50.0,50,237.313107,0.0
-50.0,50,238.346633,0.0
-50.0,50,239.41112,0.0
-50.0,50,240.441492,0.0
-50.0,50,241.472499,0.0
-50.0,50,242.501772,0.0
-50.0,50,243.565191,0.0
-50.0,50,244.593999,0.0
-50.0,50,245.624714,0.0
-50.0,50,246.657433,0.0
-50.0,50,252.588456,0.0
-50.0,50,253.624213,0.0
-50.0,50,254.660078,0.0
-50.0,50,255.693196,0.0
-50.0,50,256.758145,0.0
-50.0,50,257.789263,0.0
-50.0,50,258.825605,0.0
-50.0,50,259.878967,0.0
-50.0,50,260.951173,0.0
-50.0,50,261.995207,0.0
-50.0,50,263.044553,0.0
-50.0,50,264.086965,0.0
-50.0,50,265.155335,0.0
-50.0,50,266.195057,0.0
-50.0,50,267.238482,0.0
-50.0,50,268.277041,0.0
-50.0,50,269.348915,0.0
-50.0,50,270.390619,0.0
-50.0,50,271.416642,0.0
-50.0,50,272.455765,0.0
-50.0,50,273.509881,0.0
-50.0,50,274.541333,0.0
-50.0,50,275.578827,0.0
-50.0,50,276.615652,0.0
-50.0,50,277.666217,0.0
-50.0,50,278.698804,0.0
-50.0,50,279.732865,0.0
-50.0,50,280.764986,0.0
-50.0,50,281.815162,0.0
-50.0,50,282.845905,0.0
-50.0,50,283.875253,0.0
-50.0,50,284.915728,0.0
-50.0,50,285.960846,0.0
-50.0,50,286.984447,0.0
-50.0,50,288.010841,0.0
-50.0,50,289.051071,0.0
-50.0,50,290.115293,0.0
-50.0,50,291.146229,0.0
-50.0,50,292.168252,0.0
-50.0,50,293.201274,0.0
-50.0,50,299.152962,0.0
-50.0,50,300.206194,0.0
-50.0,50,301.251455,0.0
-50.0,50,302.297476,0.0
-50.0,50,303.384564,0.0
-50.0,50,304.438648,0.0
-50.0,50,305.472162,0.0
-50.0,50,306.498479,0.0
-50.0,50,307.547162,0.0
-50.0,50,308.573898,0.0
-50.0,50,309.605727,0.0
-50.0,50,310.638668,0.0
-50.0,50,311.717106,0.0
-50.0,50,312.766274,0.0
-50.0,50,313.815764,0.0
-50.0,50,314.867751,0.0
-50.0,50,315.941169,0.0
-50.0,50,316.987254,0.0
-50.0,50,318.035351,0.0
-50.0,50,319.113402,0.0
-50.0,50,320.181541,0.0
-50.0,50,321.248387,0.0
-50.0,50,322.310843,0.0
-50.0,50,323.381155,0.0
-50.0,50,324.474185,0.0
-50.0,50,325.53733,0.0
-50.0,50,326.604615,0.0
-50.0,50,327.665135,0.0
-50.0,50,328.753258,0.0
-50.0,50,329.8026,0.0
-50.0,50,330.84979,0.0
-50.0,50,331.881681,0.0
-50.0,50,332.944485,0.0
-50.0,50,333.976244,0.0
-50.0,50,335.011703,0.0
-50.0,50,336.046424,0.0
-50.0,50,337.105011,0.0
-50.0,50,338.137116,0.0
-50.0,50,339.163238,0.0
-50.0,50,340.185713,0.0
-50.0,50,346.044669,0.0
-50.0,50,347.082382,0.0
-50.0,50,348.115685,0.0
-50.0,50,349.160367,0.0
-50.0,50,350.225338,0.0
-50.0,50,351.256951,0.0
-50.0,50,352.287911,0.0
-50.0,50,353.320091,0.0
-50.0,50,354.385906,0.0
-50.0,50,355.424779,0.0
-50.0,50,356.457901,0.0
-50.0,50,357.486364,0.0
-50.0,50,358.548553,0.0
-50.0,50,359.593047,0.0
-50.0,50,360.633185,0.0
-50.0,50,361.662082,0.0
-50.0,50,362.733565,0.0
-50.0,50,363.757936,0.0
-50.0,50,364.781334,0.0
-50.0,50,365.813121,0.0
-50.0,50,366.85939,0.0
-50.0,50,367.88732,0.0
-50.0,50,368.923295,0.0
-50.0,50,369.971781,0.0
-50.0,50,371.060389,0.0
-50.0,50,372.1204,0.0
-50.0,50,373.171558,0.0
-50.0,50,374.218021,0.0
-50.0,50,375.288784,0.0
-50.0,50,376.350864,0.0
-50.0,50,377.405096,0.0
-50.0,50,378.429145,0.0
-50.0,50,379.487093,0.0
-50.0,50,380.508711,0.0
-50.0,50,381.546024,0.0
-50.0,50,382.575784,0.0
-50.0,50,383.620014,0.0
-50.0,50,384.640465,0.0
-50.0,50,385.672059,0.0
-50.0,50,386.695183,0.0
-50.0,50,392.465302,0.0
-50.0,50,393.492755,0.0
-50.0,50,394.528266,0.0
-50.0,50,395.556685,0.0
-50.0,50,396.629927,0.0
-50.0,50,397.661536,0.0
-50.0,50,398.707857,0.0
-50.0,50,399.727998,0.0
-50.0,50,400.796601,0.0
-50.0,50,401.848948,0.0
-50.0,50,402.878196,0.0
-50.0,50,403.900844,0.0
-50.0,50,404.949568,0.0
-50.0,50,405.986956,0.0
-50.0,50,407.018805,0.0
-50.0,50,408.038574,0.0
-50.0,50,409.119648,0.0
-50.0,50,410.146652,0.0
-50.0,50,411.172794,0.0
-50.0,50,412.197512,0.0
-50.0,50,413.256176,0.0
-50.0,50,414.284678,0.0
-50.0,50,415.306014,0.0
-50.0,50,416.336742,0.0
-50.0,50,417.404362,0.0
-50.0,50,418.443019,0.0
-50.0,50,419.482211,0.0
-50.0,50,420.520561,0.0
-50.0,50,421.595751,0.0
-50.0,50,422.632334,0.0
-50.0,50,423.671205,0.0
-50.0,50,424.723336,0.0
-50.0,50,425.834116,0.0
-50.0,50,426.872989,0.0
-50.0,50,427.912044,0.0
-50.0,50,428.947968,0.0
-50.0,50,430.03129,0.0
-50.0,50,431.088261,0.0
-50.0,50,432.157908,0.0
-50.0,50,433.221165,0.0
-50.0,50,439.270341,0.0
-50.0,50,440.334756,0.0
-50.0,50,441.388289,0.0
-50.0,50,442.44624,0.0
-50.0,50,443.51603,0.0
-50.0,50,444.584286,0.0
-50.0,50,445.644729,0.0
-50.0,50,446.724956,0.0
-50.0,50,447.807994,0.0
-50.0,50,448.869934,0.0
-50.0,50,449.94964,0.0
-50.0,50,451.014775,0.0
-50.0,50,452.101788,0.0
-50.0,50,453.155492,0.0
-50.0,50,454.230677,0.0
-50.0,50,455.287367,0.0
-50.0,50,456.365262,0.0
-50.0,50,457.430224,0.0
-50.0,50,458.489985,0.0
-50.0,50,459.550551,0.0
-50.0,50,460.626683,0.0
-50.0,50,461.678424,0.0
-50.0,50,462.735912,0.0
-50.0,50,463.787889,0.0
-50.0,50,464.847523,0.0
-50.0,50,465.881331,0.0
-50.0,50,466.91905,0.0
-50.0,50,467.952099,0.0
-50.0,50,469.010408,0.0
-50.0,50,470.03965,0.0
-50.0,50,471.066464,0.0
-50.0,50,472.097525,0.0
-50.0,50,473.141243,0.0
-50.0,50,474.170207,0.0
-50.0,50,475.208615,0.0
-50.0,50,476.248686,0.0
-50.0,50,477.292996,0.0
-50.0,50,478.334792,0.0
-50.0,50,479.358957,0.0
-50.0,50,480.402069,0.0
-50.0,50,486.261035,0.0
-50.0,50,487.289091,0.0
-50.0,50,488.325573,0.0
-50.0,50,489.360221,0.0
-50.0,50,490.420084,0.0
-50.0,50,491.464312,0.0
-50.0,50,492.521611,0.0
-50.0,50,493.542067,0.0
-50.0,50,494.577665,0.0
-50.0,50,495.609973,0.0
-50.0,50,496.637574,0.0
-50.0,50,497.659286,0.0
-50.0,50,498.718222,0.0
-50.0,50,499.758157,0.0
-50.0,50,500.793882,0.0
-50.0,50,501.81545,0.0
-50.0,50,502.900791,0.0
-50.0,50,503.918718,0.0
-50.0,50,504.963845,0.0
-50.0,50,505.982664,0.0
-50.0,50,507.020824,0.0
-50.0,50,508.060836,0.0
-50.0,50,509.11967,0.0
-50.0,50,510.167064,0.0
-50.0,50,511.258247,0.0
-50.0,50,512.308266,0.0
-50.0,50,513.352428,0.0
-50.0,50,514.401292,0.0
-50.0,50,515.48071,0.0
-50.0,50,516.535453,0.0
-50.0,50,517.582027,0.0
-50.0,50,518.630594,0.0
-50.0,50,519.706625,0.0
-50.0,50,520.762238,0.0
-50.0,50,521.812618,0.0
-50.0,50,522.862043,0.0
-50.0,50,523.933185,0.0
-50.0,50,524.998071,0.0
-50.0,50,526.04286,0.0
