#{"t_start": 1786135229.5519905, "env_id": "FetchPush-v3"}
r,l,t,is_success
-50.0,50,6.515789,0.0
-50.0,50,6.601544,0.0
-50.0,50,6.689191,0.0
-50.0,50,6.777848,0.0
-50.0,50,6.873862,0.0
-50.0,50,6.963102,0.0
-50.0,50,7.053616,0.0
-50.0,50,7.139485,0.0
-50.0,50,7.232455,0.0
-50.0,50,7.324907,0.0
-50.0,50,7.416608,0.0
-50.0,50,7.505985,0.0
-50.0,50,7.603808,0.0
-50.0,50,7.692721,0.0
-50.0,50,7.777805,0.0
-50.0,50,7.866421,0.0
-50.0,50,7.960111,0.0
-50.0,50,8.048166,0.0
-50.0,50,8.141202,0.0
0.0,50,8.226079,1.0
0.0,50,10.278378,1.0
-50.0,50,10.7727,0.0
-50.0,50,11.273178,0.0
-50.0,50,11.77801,0.0
-50.0,50,12.286888,0.0
-50.0,50,12.797947,0.0
-50.0,50,13.30159,0.0
-50.0,50,13.811945,0.0
-50.0,50,14.318478,0.0
-50.0,50,14.963417,0.0
-50.0,50,15.464463,0.0
-50.0,50,15.967465,0.0
-50.0,50,16.481279,0.0
-50.0,50,16.982215,0.0
-50.0,50,17.480593,0.0
-50.0,50,17.984813,0.0
-50.0,50,18.497095,0.0
-50.0,50,19.000766,0.0
-50.0,50,19.501119,0.0
-50.0,50,20.001572,0.0
-50.0,50,20.511151,0.0
-26.0,50,21.015243,0.0
-50.0,50,21.516836,0.0
-50.0,50,22.01733,0.0
-50.0,50,22.525804,0.0
-50.0,50,23.03163,0.0
-50.0,50,23.538296,0.0
-50.0,50,24.039022,0.0
-50.0,50,24.553931,0.0
-50.0,50,25.057051,0.0
-50.0,50,25.564411,0.0
-50.0,50,26.063363,0.0
-50.0,50,26.57551,0.0
-50.0,50,27.079291,0.0
-50.0,50,27.586263,0.0
-50.0,50,28.099854,0.0
-50.0,50,28.622972,0.0
-50.0,50,29.122175,0.0
-50.0,50,29.635281,0.0
-50.0,50,30.137286,0.0
-50.0,50,30.646233,0.0
-50.0,50,31.168558,0.0
-50.0,50,31.675457,0.0
-50.0,50,32.175043,0.0
-50.0,50,32.676719,0.0
-50.0,50,33.170331,0.0
-50.0,50,33.668571,0.0
-50.0,50,34.160729,0.0
-50.0,50,34.665009,0.0
0.0,50,35.164591,1.0
0.0,50,35.676742,1.0
-50.0,50,36.195827,0.0
-50.0,50,36.714471,0.0
-50.0,50,37.231112,0.0
0.0,50,37.759687,1.0
0.0,50,38.282196,1.0
-50.0,50,38.811793,0.0
-50.0,50,39.330059,0.0
-50.0,50,39.834657,0.0
-50.0,50,40.358944,0.0
-50.0,50,40.887213,0.0
-50.0,50,41.383774,0.0
-50.0,50,41.913949,0.0
-50.0,50,42.413157,0.0
-50.0,50,42.927318,0.0
-50.0,50,43.467685,0.0
-50.0,50,43.985795,0.0
-50.0,50,44.515094,0.0
-50.0,50,45.031374,0.0
-50.0,50,45.536887,0.0
-50.0,50,46.052768,0.0
-50.0,50,46.567434,0.0
-50.0,50,47.096398,0.0
-50.0,50,47.629572,0.0
-50.0,50,48.142763,0.0
-50.0,50,48.661905,0.0
-50.0,50,49.204777,0.0
-50.0,50,49.707079,0.0
-50.0,50,50.207602,0.0
-50.0,50,50.708574,0.0
0.0,50,53.835392,1.0
-50.0,50,54.33404,0.0
-50.0,50,54.838742,0.0
-50.0,50,55.356368,0.0
-50.0,50,55.879239,0.0
-50.0,50,56.401924,0.0
-50.0,50,56.914146,0.0
-50.0,50,57.435879,0.0
-50.0,50,57.951025,0.0
-50.0,50,58.458885,0.0
-50.0,50,58.978006,0.0
-50.0,50,59.478381,0.0
-50.0,50,60.010406,0.0
-44.0,50,60.50874,0.0
-50.0,50,61.015081,0.0
-50.0,50,61.526546,0.0
-50.0,50,62.044091,0.0
-50.0,50,62.56915,0.0
-50.0,50,63.094395,0.0
-50.0,50,63.597811,0.0
0.0,50,64.13576,1.0
-50.0,50,64.644562,0.0
-50.0,50,65.144511,0.0
-50.0,50,65.663843,0.0
0.0,50,66.204864,1.0
-50.0,50,66.734005,0.0
-50.0,50,67.238659,0.0
-50.0,50,67.757166,0.0
-50.0,50,68.27106,0.0
-50.0,50,68.788321,0.0
-50.0,50,69.284005,0.0
-50.0,50,69.814407,0.0
-50.0,50,70.343852,0.0
-50.0,50,70.847143,0.0
-50.0,50,71.370568,0.0
-50.0,50,71.895865,0.0
-50.0,50,72.422173,0.0
-50.0,50,72.94523,0.0
-50.0,50,73.468658,0.0
0.0,50,74.00109,1.0
-50.0,50,74.533121,0.0
-50.0,50,75.040312,0.0
-50.0,50,75.576895,0.0
-50.0,50,76.111626,0.0
-50.0,50,76.621951,0.0
-50.0,50,77.118194,0.0
-50.0,50,77.637214,0.0
-50.0,50,78.15502,0.0
-50.0,50,78.688606,0.0
-50.0,50,79.211925,0.0
-50.0,50,79.727701,0.0
-50.0,50,80.253729,0.0
-50.0,50,80.77863,0.0
-50.0,50,81.276322,0.0
-50.0,50,81.797756,0.0
-44.0,50,82.304549,0.0
-50.0,50,82.848945,0.0
-50.0,50,83.368536,0.0
-50.0,50,83.891207,0.0
-50.0,50,84.408446,0.0
0.0,50,84.940692,1.0
-50.0,50,85.43817,0.0
-50.0,50,85.937208,0.0
-50.0,50,86.443542,0.0
-50.0,50,86.964576,0.0
-50.0,50,87.475623,0.0
-50.0,50,87.991062,0.0
-50.0,50,88.51367,0.0
-50.0,50,89.024916,0.0
-50.0,50,89.544612,0.0
-50.0,50,90.056854,0.0
-50.0,50,90.575943,0.0
-50.0,50,91.093933,0.0
-50.0,50,91.603765,0.0
-50.0,50,92.119128,0.0
-50.0,50,92.638451,0.0
-50.0,50,93.18054,0.0
-50.0,50,93.68957,0.0
-50.0,50,94.233147,0.0
-50.0,50,94.747432,0.0
-50.0,50,95.282821,0.0
-50.0,50,95.823468,0.0
-50.0,50,96.348758,0.0
-50.0,50,96.878115,0.0
-50.0,50,97.40767,0.0
0.0,50,97.94758,1.0
-50.0,50,98.482891,0.0
-50.0,50,98.988332,0.0
-50.0,50,99.536158,0.0
-50.0,50,100.060325,0.0
-50.0,50,100.573838,0.0
-50.0,50,101.091055,0.0
-50.0,50,101.629208,0.0
-50.0,50,102.136727,0.0
-50.0,50,102.632766,0.0
-50.0,50,103.130853,0.0
-50.0,50,103.636393,0.0
-50.0,50,104.608496,0.0
-50.0,50,105.752709,0.0
-50.0,50,106.894244,0.0
-50.0,50,113.954863,0.0
-50.0,50,115.110645,0.0
0.0,50,116.266173,1.0
-50.0,50,117.371361,0.0
-50.0,50,118.546151,0.0
-50.0,50,119.674431,0.0
-50.0,50,120.809691,0.0
-50.0,50,121.968922,0.0
-50.0,50,123.113158,0.0
-50.0,50,124.193483,0.0
-50.0,50,125.269717,0.0
-50.0,50,126.366255,0.0
-50.0,50,127.535095,0.0
0.0,50,128.667951,1.0
-50.0,50,129.76669,0.0
-50.0,50,130.857217,0.0
-50.0,50,131.966386,0.0
-50.0,50,133.12517,0.0
-50.0,50,134.243283,0.0
0.0,50,135.372548,1.0
-50.0,50,136.513613,0.0
-50.0,50,137.6886,0.0
-50.0,50,138.856824,0.0
-50.0,50,139.98582,0.0
-50.0,50,141.109072,0.0
-50.0,50,142.218733,0.0
-50.0,50,143.355093,0.0
-50.0,50,144.45466,0.0
-50.0,50,145.627188,0.0
-50.0,50,146.742045,0.0
-50.0,50,147.884118,0.0
-50.0,50,149.034384,0.0
-50.0,50,150.143091,0.0
-50.0,50,151.225349,0.0
-8.0,50,152.317367,0.0
-31.0,50,153.424903,0.0
-50.0,50,154.544957,0.0
-50.0,50,155.653998,0.0
-50.0,50,156.807054,0.0
-50.0,50,157.929446,0.0
-50.0,50,159.052916,0.0
-50.0,50,160.133128,0.0
-50.0,50,161.286085,0.0
-50.0,50,162.383664,0.0
-50.0,50,163.528054,0.0
-50.0,50,164.674597,0.0
-50.0,50,165.828451,0.0
-43.0,50,166.933208,0.0
-50.0,50,168.035089,0.0
-50.0,50,169.159201,0.0
-50.0,50,170.273049,0.0
-50.0,50,171.365175,0.0
-50.0,50,172.470843,0.0
-50.0,50,173.551413,0.0
-50.0,50,174.642715,0.0
-50.0,50,175.727012,0.0
-50.0,50,176.851867,0.0
-50.0,50,177.930077,0.0
-50.0,50,179.016734,0.0
-50.0,50,180.112357,0.0
-50.0,50,181.224029,0.0
-50.0,50,182.348614,0.0
-50.0,50,183.425339,0.0
-50.0,50,184.513237,0.0
0.0,50,185.651907,1.0
-50.0,50,186.751628,0.0
-50.0,50,187.832214,0.0
-50.0,50,188.926659,0.0
-50.0,50,190.028661,0.0
-50.0,50,191.13301,0.0
-50.0,50,192.22473,0.0
-50.0,50,193.323613,0.0
-50.0,50,194.433271,0.0
-50.0,50,195.518307,0.0
-50.0,50,196.61182,0.0
-50.0,50,197.692321,0.0
-50.0,50,198.809966,0.0
-50.0,50,199.98572,0.0
-50.0,50,201.065764,0.0
-50.0,50,202.164682,0.0
-50.0,50,203.282758,0.0
-50.0,50,204.391864,0.0
-50.0,50,205.504041,0.0
-50.0,50,206.595998,0.0
-50.0,50,207.70074,0.0
-50.0,50,208.797996,0.0
-50.0,50,209.915114,0.0
-50.0,50,210.998658,0.0
-50.0,50,212.116184,0.0
-50.0,50,213.227597,0.0
-50.0,50,214.366005,0.0
-50.0,50,215.487783,0.0
-50.0,50,216.604392,0.0
-50.0,50,217.707285,0.0
-50.0,50,218.82156,0.0
-50.0,50,219.971112,0.0
-50.0,50,221.095061,0.0
-50.0,50,222.214632,0.0
-50.0,50,223.366577,0.0
-50.0,50,224.479532,0.0
-50.0,50,231.44778,0.0
-50.0,50,232.549505,0.0
-43.0,50,233.644814,0.0
-50.0,50,234.785196,0.0
-50.0,50,235.896854,0.0
-50.0,50,236.999397,0.0
-50.0,50,238.139309,0.0
-50.0,50,239.268026,0.0
0.0,50,240.39799,1.0
-50.0,50,241.511435,0.0
-50.0,50,242.68047,0.0
-50.0,50,243.799636,0.0
-50.0,50,244.940837,0.0
-50.0,50,246.075271,0.0
-50.0,50,247.197485,0.0
-50.0,50,248.313449,0.0
-50.0,50,249.445434,0.0
-50.0,50,250.554755,0.0
-50.0,50,251.658482,0.0
-50.0,50,252.769692,0.0
-50.0,50,253.892591,0.0
-50.0,50,255.051166,0.0
-50.0,50,256.164906,0.0
-50.0,50,257.280362,0.0
-50.0,50,258.404264,0.0
-50.0,50,259.518091,0.0
-50.0,50,260.669951,0.0
-50.0,50,261.791434,0.0
-50.0,50,262.901326,0.0
-50.0,50,263.997778,0.0
-50.0,50,265.106761,0.0
-50.0,50,266.205707,0.0
-50.0,50,267.313855,0.0
-50.0,50,268.418241,0.0
-50.0,50,269.53551,0.0
-50.0,50,270.629813,0.0
-50.0,50,271.736172,0.0
-50.0,50,272.817493,0.0
-50.0,50,273.917342,0.0
-50.0,50,275.000346,0.0
-49.0,50,276.114318,0.0
-50.0,50,277.265335,0.0
-50.0,50,278.399348,0.0
-47.0,50,279.49882,0.0
-50.0,50,280.607,0.0
-50.0,50,281.734856,0.0
-50.0,50,282.854392,0.0
-50.0,50,283.995,0.0
-50.0,50,285.098635,0.0
-50.0,50,286.183168,0.0
-50.0,50,287.285559,0.0
-50.0,50,288.379661,0.0
-50.0,50,289.531695,0.0
-50.0,50,290.627856,0.0
-50.0,50,291.723647,0.0
-50.0,50,292.840213,0.0
-50.0,50,293.991183,0.0
-50.0,50,295.149263,0.0
-50.0,50,296.231282,0.0
-50.0,50,297.319448,0.0
-50.0,50,298.430338,0.0
-50.0,50,299.53176,0.0
-50.0,50,300.626939,0.0
-50.0,50,301.732955,0.0
-50.0,50,302.867792,0.0
-46.0,50,303.978033,0.0
-50.0,50,305.096032,0.0
-50.0,50,306.273633,0.0
-50.0,50,307.414306,0.0
-50.0,50,308.571606,0.0
-50.0,50,309.670981,0.0
-50.0,50,310.808578,0.0
-50.0,50,311.914848,0.0
-50.0,50,313.054635,0.0
-50.0,50,314.214257,0.0
-50.0,50,315.30879,0.0
-50.0,50,316.399535,0.0
-50.0,50,317.50783,0.0
-50.0,50,318.623203,0.0
-50.0,50,319.72059,0.0
-50.0,50,320.83301,0.0
-50.0,50,321.92872,0.0
-50.0,50,323.032946,0.0
-50.0,50,324.168759,0.0
-50.0,50,325.308946,0.0
-50.0,50,326.398117,0.0
-50.0,50,327.489504,0.0
-50.0,50,328.582922,0.0
-50.0,50,329.67953,0.0
-50.0,50,330.7805,0.0
-50.0,50,331.893361,0.0
-50.0,50,332.990115,0.0
-50.0,50,334.114835,0.0
-50.0,50,335.256657,0.0
-50.0,50,336.372094,0.0
-50.0,50,337.483738,0.0
