#{"t_start": 1786136556.9517791, "env_id": "FetchPush-v3"}
r,l,t,is_success
-50.0,50,7.923782,0.0
-50.0,50,8.010366,0.0
-50.0,50,8.09735,0.0
-50.0,50,8.186612,0.0
-50.0,50,8.286881,0.0
-50.0,50,8.376043,0.0
-50.0,50,8.466708,0.0
-50.0,50,8.552874,0.0
-50.0,50,8.65152,0.0
-50.0,50,8.74762,0.0
-50.0,50,8.840279,0.0
-50.0,50,8.929721,0.0
-50.0,50,9.038401,0.0
-50.0,50,9.127911,0.0
-50.0,50,9.216697,0.0
-50.0,50,9.305256,0.0
-50.0,50,9.405218,0.0
-50.0,50,9.493975,0.0
-50.0,50,9.587063,0.0
0.0,50,9.672198,1.0
0.0,50,11.063846,1.0
-50.0,50,11.64117,0.0
-50.0,50,12.1746,0.0
-50.0,50,12.711822,0.0
-50.0,50,13.271058,0.0
-50.0,50,13.801463,0.0
-50.0,50,14.348112,0.0
-50.0,50,14.928365,0.0
-50.0,50,15.495939,0.0
-50.0,50,16.047903,0.0
-50.0,50,16.612658,0.0
-50.0,50,17.148729,0.0
-50.0,50,17.707294,0.0
-50.0,50,18.239281,0.0
-50.0,50,18.76585,0.0
-50.0,50,19.299972,0.0
-50.0,50,19.86514,0.0
-50.0,50,20.413098,0.0
-50.0,50,20.949048,0.0
-50.0,50,21.488648,0.0
-50.0,50,22.034827,0.0
-32.0,50,22.576513,0.0
-50.0,50,23.115623,0.0
-50.0,50,23.652704,0.0
-50.0,50,24.197588,0.0
-50.0,50,24.728593,0.0
-50.0,50,25.267468,0.0
-50.0,50,25.808742,0.0
-50.0,50,26.363072,0.0
-50.0,50,26.907567,0.0
-50.0,50,27.452763,0.0
-50.0,50,27.986,0.0
-50.0,50,28.543241,0.0
-50.0,50,29.088001,0.0
-50.0,50,29.626051,0.0
-50.0,50,30.158502,0.0
-50.0,50,30.707032,0.0
-50.0,50,31.236533,0.0
-50.0,50,31.76386,0.0
-50.0,50,32.297225,0.0
-50.0,50,32.845537,0.0
-50.0,50,33.373646,0.0
-50.0,50,33.907649,0.0
-50.0,50,34.441571,0.0
-50.0,50,34.989828,0.0
-50.0,50,35.531163,0.0
-50.0,50,36.066756,0.0
-50.0,50,36.602712,0.0
-50.0,50,37.135877,0.0
0.0,50,37.64375,1.0
0.0,50,38.154689,1.0
-50.0,50,38.663494,0.0
-50.0,50,39.556191,0.0
-50.0,50,40.768545,0.0
0.0,50,41.972454,1.0
0.0,50,43.172819,1.0
-50.0,50,44.480054,0.0
-50.0,50,45.796091,0.0
-50.0,50,47.050637,0.0
-50.0,50,48.341315,0.0
-50.0,50,49.575871,0.0
-50.0,50,50.779565,0.0
-50.0,50,51.998724,0.0
-50.0,50,53.208881,0.0
-50.0,50,54.419447,0.0
-50.0,50,55.65822,0.0
-50.0,50,56.854552,0.0
-50.0,50,58.078639,0.0
-50.0,50,59.309345,0.0
-50.0,50,60.495628,0.0
-50.0,50,61.713526,0.0
-50.0,50,62.928509,0.0
-50.0,50,64.144035,0.0
-50.0,50,65.334979,0.0
-50.0,50,66.549721,0.0
-50.0,50,67.751286,0.0
-50.0,50,68.962126,0.0
-50.0,50,70.155368,0.0
-50.0,50,71.347126,0.0
-50.0,50,72.543763,0.0
0.0,50,79.395894,1.0
-50.0,50,80.590797,0.0
-50.0,50,81.788699,0.0
-50.0,50,82.993878,0.0
-50.0,50,84.206919,0.0
-50.0,50,85.406752,0.0
-50.0,50,86.625248,0.0
-50.0,50,87.817528,0.0
-50.0,50,89.024636,0.0
-50.0,50,90.228835,0.0
-50.0,50,91.447048,0.0
-50.0,50,92.640973,0.0
-50.0,50,93.845158,0.0
0.0,50,95.077896,1.0
-50.0,50,96.270688,0.0
-50.0,50,97.487129,0.0
-50.0,50,98.696782,0.0
-50.0,50,99.887486,0.0
-50.0,50,101.108881,0.0
-50.0,50,102.307348,0.0
0.0,50,103.545441,1.0
-50.0,50,104.767711,0.0
-50.0,50,105.964964,0.0
-50.0,50,107.195202,0.0
0.0,50,108.434906,1.0
-50.0,50,109.65416,0.0
-50.0,50,110.851695,0.0
-50.0,50,112.044157,0.0
-50.0,50,113.264273,0.0
-50.0,50,114.451325,0.0
-50.0,50,115.644717,0.0
-50.0,50,116.836586,0.0
-50.0,50,118.041539,0.0
-50.0,50,119.244519,0.0
-50.0,50,120.463764,0.0
-50.0,50,121.66521,0.0
